symbol,category,date,value,reportDate,reference
apn:sj,pe,2000-06-30T00:00:00,20.9092,2000-06-30T00:00:00,FY2001H1  
apn:sj,pe,2001-12-31T00:00:00,13.9093,2001-12-31T00:00:00,FY2002H1  
apn:sj,pe,2002-06-30T00:00:00,12.3288,2002-06-30T00:00:00,FY2002H2  
apn:sj,pe,2002-12-31T00:00:00,11.223,2002-12-31T00:00:00,FY2003H1  
apn:sj,pe,2003-06-30T00:00:00,16.5795,2003-06-30T00:00:00,FY2003H2  
apn:sj,pe,2003-12-31T00:00:00,15.1551,2003-12-31T00:00:00,FY2004H2  
apn:sj,pe,2004-06-30T00:00:00,17.9802,2004-06-30T00:00:00,FY2005H1  
apn:sj,pe,2004-12-31T00:00:00,20.4872,2004-12-31T00:00:00,FY2005H2  
apn:sj,pe,2005-06-30T00:00:00,63.4629,2005-06-30T00:00:00,FY2006H1  
apn:sj,pe,2005-12-31T00:00:00,47.6641,2005-12-31T00:00:00,FY2006H2  
apn:sj,pe,2006-06-30T00:00:00,18.1541,2006-06-30T00:00:00,FY2007H1  
apn:sj,pe,2006-12-31T00:00:00,19.4816,2006-12-31T00:00:00,FY2007H2  
apn:sj,pe,2007-06-30T00:00:00,18.824,2007-06-30T00:00:00,FY2008H1  
apn:sj,pe,2007-12-31T00:00:00,13.7979,2007-12-31T00:00:00,FY2008H2  
apn:sj,pe,2008-06-30T00:00:00,14.2337,2008-06-30T00:00:00,FY2009H1  
apn:sj,pe,2008-12-31T00:00:00,17.9294,2008-12-31T00:00:00,FY2009H2  
apn:sj,pe,2009-06-30T00:00:00,20.4496,2009-06-30T00:00:00,FY2010H1  
apn:sj,pe,2009-12-31T00:00:00,19.012,2009-12-31T00:00:00,FY2010H2  
apn:sj,pe,2010-06-30T00:00:00,21.7445,2010-06-30T00:00:00,FY2011H1  
apn:sj,pe,2010-12-31T00:00:00,18.6126,2010-12-31T00:00:00,FY2011H2  
apn:sj,pe,2011-06-30T00:00:00,19.5224,2011-06-30T00:00:00,FY2012H1  
apn:sj,pe,2011-12-31T00:00:00,23.0738,2011-12-31T00:00:00,FY2012H2  
apn:sj,pe,2012-06-30T00:00:00,28.1339,2012-06-30T00:00:00,FY2013H1  
apn:sj,pe,2012-12-31T00:00:00,34.3031,2012-12-31T00:00:00,FY2013H2  
apn:sj,pe,2013-06-30T00:00:00,34.8115,2013-06-30T00:00:00,FY2014H1  
apn:sj,pe,2013-12-31T00:00:00,36.1816,2013-12-31T00:00:00,FY2014H2  
apn:sj,pe,2014-06-30T00:00:00,37.0033,2014-06-30T00:00:00,FY2015H1  
apn:sj,pe,2014-12-31T00:00:00,29.6696,2014-12-31T00:00:00,FY2015H2  
apn:sj,pe,2015-06-30T00:00:00,27.1587,2015-06-30T00:00:00,FY2016H1  
apn:sj,pe,2015-12-31T00:00:00,27.2921,2015-12-31T00:00:00,FY2016H2  
apn:sj,pe,2016-06-30T00:00:00,30.1043,2016-06-30T00:00:00,FY2017H1  
apn:sj,pe,2016-12-31T00:00:00,34.6438,2016-12-31T00:00:00,FY2017H2  
apn:sj,pe,2017-06-30T00:00:00,24.833,2017-06-30T00:00:00,FY2018H1  
apn:sj,pe,2017-12-31T00:00:00,19.6436,2017-12-31T00:00:00,FY2018H2  
apn:sj,pe,2018-06-30T00:00:00,10.9468,2018-06-30T00:00:00,FY2019H1  
apn:sj,pe,2018-12-31T00:00:00,9.9568,2018-12-31T00:00:00,FY2019H2  
apn:sj,pe,2019-06-30T00:00:00,32.4144,2019-06-30T00:00:00,FY2020H1  
apn:sj,pe,2019-12-31T00:00:00,75.3013,2019-12-31T00:00:00,FY2020H2  
apn:sj,pe,2020-06-30T00:00:00,16.9324,2020-06-30T00:00:00,FY2021H1  
apn:sj,pe,2020-12-31T00:00:00,19.5648,2020-12-31T00:00:00,FY2021H2  
apn:sj,pe,2021-06-30T00:00:00,21.3541,2021-06-30T00:00:00,FY2022H1  
apn:sj,pe,2021-12-31T00:00:00,10.7927,2021-12-31T00:00:00,FY2022H2  
apn:sj,pe,2022-06-30T00:00:00,9.5208,2022-06-30T00:00:00,FY2023H1  
apn:sj,pe,2022-12-31T00:00:00,14.1479,2022-12-31T00:00:00,FY2023H2  
apn:sj,pe,2023-06-30T00:00:00,17.2905,2023-06-30T00:00:00,FY2024H1  
apn:sj,pe,2023-12-31T00:00:00,21.2916,2023-12-31T00:00:00,FY2024H2  
