symbol,category,date,value,reportDate,reference
bid:sj,pe,2016-06-30T00:00:00,6.2169,2016-06-30T00:00:00,FY2016H2  
bid:sj,pe,2017-06-30T00:00:00,24.9202,2017-06-30T00:00:00,FY2017H2  
bid:sj,pe,2017-12-31T00:00:00,21.7872,2017-12-31T00:00:00,FY2018H1  
bid:sj,pe,2018-06-30T00:00:00,21.0234,2018-06-30T00:00:00,FY2018H2  
bid:sj,pe,2018-12-31T00:00:00,23.3579,2018-12-31T00:00:00,FY2019H1  
bid:sj,pe,2019-06-30T00:00:00,22.7964,2019-06-30T00:00:00,FY2019H2  
bid:sj,pe,2019-12-31T00:00:00,19.2133,2019-12-31T00:00:00,FY2020H1  
bid:sj,pe,2020-06-30T00:00:00,60.5952,2020-06-30T00:00:00,FY2020H2  
bid:sj,pe,2020-12-31T00:00:00,209.4507,2020-12-31T00:00:00,FY2021H1  
bid:sj,pe,2021-06-30T00:00:00,35.7652,2021-06-30T00:00:00,FY2021H2  
bid:sj,pe,2021-12-31T00:00:00,27.1513,2021-12-31T00:00:00,FY2022H1  
bid:sj,pe,2022-06-30T00:00:00,22.9033,2022-06-30T00:00:00,FY2022H2  
bid:sj,pe,2022-12-31T00:00:00,23.5486,2022-12-31T00:00:00,FY2023H2  
bid:sj,pe,2023-06-30T00:00:00,20.7548,2023-06-30T00:00:00,FY2024H1  
bid:sj,pe,2023-12-31T00:00:00,19.0904,2023-12-31T00:00:00,FY2024H1  
bid:sj,pe,2024-06-30T00:00:00,18.0666,2024-06-30T00:00:00,FY2024H2  
