symbol,category,date,value,reportDate,reference
cpi:sj,pe,2002-02-28T00:00:00,1.6994,2002-02-28T00:00:00,FY2002H2  
cpi:sj,pe,2003-02-28T00:00:00,8.9575,2003-02-28T00:00:00,FY2003H2  
cpi:sj,pe,2004-02-29T00:00:00,9.8096,2004-02-29T00:00:00,FY2004H2  
cpi:sj,pe,2004-08-31T00:00:00,16.0907,2004-08-31T00:00:00,FY2005H1  
cpi:sj,pe,2005-02-28T00:00:00,18.4511,2005-02-28T00:00:00,FY2005H2  
cpi:sj,pe,2005-08-31T00:00:00,27.1738,2005-08-31T00:00:00,FY2006H1  
cpi:sj,pe,2006-02-28T00:00:00,18.2235,2006-02-28T00:00:00,FY2006H2  
cpi:sj,pe,2006-08-31T00:00:00,18.0798,2006-08-31T00:00:00,FY2007H1  
cpi:sj,pe,2007-02-28T00:00:00,18.4357,2007-02-28T00:00:00,FY2007H2  
cpi:sj,pe,2007-08-31T00:00:00,17.9583,2007-08-31T00:00:00,FY2008H1  
cpi:sj,pe,2008-02-29T00:00:00,10.5393,2008-02-29T00:00:00,FY2008H2  
cpi:sj,pe,2008-08-31T00:00:00,10.0837,2008-08-31T00:00:00,FY2009H1  
cpi:sj,pe,2009-02-28T00:00:00,11.8567,2009-02-28T00:00:00,FY2009H2  
cpi:sj,pe,2009-08-31T00:00:00,18.4349,2009-08-31T00:00:00,FY2010H1  
cpi:sj,pe,2010-02-28T00:00:00,23.1233,2010-02-28T00:00:00,FY2010H2  
cpi:sj,pe,2010-08-31T00:00:00,27.6122,2010-08-31T00:00:00,FY2011H1  
cpi:sj,pe,2011-02-28T00:00:00,25.2426,2011-02-28T00:00:00,FY2011H2  
cpi:sj,pe,2011-08-31T00:00:00,19.6382,2011-08-31T00:00:00,FY2012H1  
cpi:sj,pe,2012-02-29T00:00:00,19.2745,2012-02-29T00:00:00,FY2012H2  
cpi:sj,pe,2012-08-31T00:00:00,14.6515,2012-08-31T00:00:00,FY2013H1  
cpi:sj,pe,2013-02-28T00:00:00,12.8073,2013-02-28T00:00:00,FY2013H2  
cpi:sj,pe,2013-08-31T00:00:00,12.4192,2013-08-31T00:00:00,FY2014H1  
cpi:sj,pe,2014-02-28T00:00:00,12.6982,2014-02-28T00:00:00,FY2014H2  
cpi:sj,pe,2014-08-31T00:00:00,17.613,2014-08-31T00:00:00,FY2015H1  
cpi:sj,pe,2015-02-28T00:00:00,21.8291,2015-02-28T00:00:00,FY2015H2  
cpi:sj,pe,2015-08-31T00:00:00,21.7742,2015-08-31T00:00:00,FY2016H1  
cpi:sj,pe,2016-02-29T00:00:00,21.3007,2016-02-29T00:00:00,FY2016H2  
cpi:sj,pe,2016-08-31T00:00:00,22.8765,2016-08-31T00:00:00,FY2017H1  
cpi:sj,pe,2017-02-28T00:00:00,25.2213,2017-02-28T00:00:00,FY2017H2  
cpi:sj,pe,2017-08-31T00:00:00,30.9312,2017-08-31T00:00:00,FY2018H1  
cpi:sj,pe,2018-02-28T00:00:00,22.4273,2018-02-28T00:00:00,FY2018H2  
cpi:sj,pe,2018-08-31T00:00:00,26.4566,2018-08-31T00:00:00,FY2019H1  
cpi:sj,pe,2019-02-28T00:00:00,28.2707,2019-02-28T00:00:00,FY2019H2  
cpi:sj,pe,2019-08-31T00:00:00,28.7856,2019-08-31T00:00:00,FY2020H1  
cpi:sj,pe,2020-02-29T00:00:00,15.8148,2020-02-29T00:00:00,FY2020H2  
cpi:sj,pe,2020-08-31T00:00:00,42.044,2020-08-31T00:00:00,FY2021H1  
cpi:sj,pe,2021-02-28T00:00:00,43.5377,2021-02-28T00:00:00,FY2021H2  
cpi:sj,pe,2021-08-31T00:00:00,30.2652,2021-08-31T00:00:00,FY2022H1  
cpi:sj,pe,2022-02-28T00:00:00,26.9312,2022-02-28T00:00:00,FY2022H2  
cpi:sj,pe,2022-08-31T00:00:00,24.1186,2022-08-31T00:00:00,FY2023H1  
cpi:sj,pe,2023-02-28T00:00:00,19.8141,2023-02-28T00:00:00,FY2023H2  
cpi:sj,pe,2023-08-31T00:00:00,24.5748,2023-08-31T00:00:00,FY2024H1  
cpi:sj,pe,2024-02-29T00:00:00,28.7743,2024-02-29T00:00:00,FY2024H2  
cpi:sj,pe,2024-08-31T00:00:00,29.4751,2024-08-31T00:00:00,FY2025H1  
