symbol,category,date,value,reportDate,reference
dsy:sj,pe,2001-06-30T00:00:00,23.6261,2001-06-30T00:00:00,FY2001H2  
dsy:sj,pe,2001-12-31T00:00:00,16.7842,2001-12-31T00:00:00,FY2002H1  
dsy:sj,pe,2002-06-30T00:00:00,11.9141,2002-06-30T00:00:00,FY2002H2  
dsy:sj,pe,2002-12-31T00:00:00,12.1676,2002-12-31T00:00:00,FY2003H1  
dsy:sj,pe,2003-06-30T00:00:00,13.893,2003-06-30T00:00:00,FY2003H2  
dsy:sj,pe,2003-12-31T00:00:00,14.873,2003-12-31T00:00:00,FY2004H1  
dsy:sj,pe,2004-06-30T00:00:00,24.1182,2004-06-30T00:00:00,FY2004H2  
dsy:sj,pe,2004-12-31T00:00:00,25.167,2004-12-31T00:00:00,FY2005H1  
dsy:sj,pe,2005-06-30T00:00:00,23.2903,2005-06-30T00:00:00,FY2005H2  
dsy:sj,pe,2005-12-31T00:00:00,20.0993,2005-12-31T00:00:00,FY2006H1  
dsy:sj,pe,2006-06-30T00:00:00,23.4458,2006-06-30T00:00:00,FY2006H2  
dsy:sj,pe,2006-12-31T00:00:00,19.6442,2006-12-31T00:00:00,FY2007H1  
dsy:sj,pe,2007-06-30T00:00:00,14.0837,2007-06-30T00:00:00,FY2007H2  
dsy:sj,pe,2007-12-31T00:00:00,9.7357,2007-12-31T00:00:00,FY2008H1  
dsy:sj,pe,2008-06-30T00:00:00,12.2301,2008-06-30T00:00:00,FY2008H2  
dsy:sj,pe,2008-12-31T00:00:00,12.8188,2008-12-31T00:00:00,FY2009H1  
dsy:sj,pe,2009-06-30T00:00:00,14.5813,2009-06-30T00:00:00,FY2009H2  
dsy:sj,pe,2009-12-31T00:00:00,12.5407,2009-12-31T00:00:00,FY2010H1  
dsy:sj,pe,2010-06-30T00:00:00,12.7713,2010-06-30T00:00:00,FY2010H2  
dsy:sj,pe,2010-12-31T00:00:00,9.2914,2010-12-31T00:00:00,FY2011H1  
dsy:sj,pe,2011-06-30T00:00:00,9.369,2011-06-30T00:00:00,FY2011H2  
dsy:sj,pe,2011-12-31T00:00:00,12.7878,2011-12-31T00:00:00,FY2012H1  
dsy:sj,pe,2012-06-30T00:00:00,15.6974,2012-06-30T00:00:00,FY2012H2  
dsy:sj,pe,2012-12-31T00:00:00,19.9955,2012-12-31T00:00:00,FY2013H1  
dsy:sj,pe,2013-06-30T00:00:00,22.9896,2013-06-30T00:00:00,FY2013H2  
dsy:sj,pe,2013-12-31T00:00:00,21.7537,2013-12-31T00:00:00,FY2014H1  
dsy:sj,pe,2014-06-30T00:00:00,19.8789,2014-06-30T00:00:00,FY2014H2  
dsy:sj,pe,2014-12-31T00:00:00,15.1077,2014-12-31T00:00:00,FY2015H1  
dsy:sj,pe,2015-06-30T00:00:00,14.6671,2015-06-30T00:00:00,FY2015H2  
dsy:sj,pe,2015-12-31T00:00:00,20.4531,2015-12-31T00:00:00,FY2016H1  
dsy:sj,pe,2016-06-30T00:00:00,20.1307,2016-06-30T00:00:00,FY2016H2  
dsy:sj,pe,2016-12-31T00:00:00,21.1056,2016-12-31T00:00:00,FY2017H1  
dsy:sj,pe,2017-06-30T00:00:00,27.2084,2017-06-30T00:00:00,FY2017H2  
dsy:sj,pe,2017-12-31T00:00:00,18.891,2017-12-31T00:00:00,FY2018H1  
dsy:sj,pe,2018-06-30T00:00:00,18.2467,2018-06-30T00:00:00,FY2018H2  
dsy:sj,pe,2018-12-31T00:00:00,18.2563,2018-12-31T00:00:00,FY2019H1  
dsy:sj,pe,2019-06-30T00:00:00,12.0726,2019-06-30T00:00:00,FY2019H2  
dsy:sj,pe,2019-12-31T00:00:00,10.9277,2019-12-31T00:00:00,FY2020H1  
dsy:sj,pe,2020-06-30T00:00:00,1043.8507,2020-06-30T00:00:00,FY2020H2  
dsy:sj,pe,2021-06-30T00:00:00,30.1871,2021-06-30T00:00:00,FY2021H2  
dsy:sj,pe,2021-12-31T00:00:00,18.5586,2021-12-31T00:00:00,FY2022H1  
dsy:sj,pe,2022-06-30T00:00:00,15.0954,2022-06-30T00:00:00,FY2022H2  
dsy:sj,pe,2022-12-31T00:00:00,19.1612,2022-12-31T00:00:00,FY2023H2  
dsy:sj,pe,2023-06-30T00:00:00,14.6714,2023-06-30T00:00:00,FY2024H1  
dsy:sj,pe,2023-12-31T00:00:00,13.8191,2023-12-31T00:00:00,FY2024H1  
