symbol,category,date,value,reportDate,reference
gfi:sj,pe,2000-12-31T00:00:00,12.416,2001-03-31T00:00:00,FY2000H2  
gfi:sj,pe,2002-06-30T00:00:00,18.3035,2002-09-30T00:00:00,FY2002H1  
gfi:sj,pe,2002-12-31T00:00:00,14.5366,2003-03-31T00:00:00,FY2002H2  
gfi:sj,pe,2003-06-30T00:00:00,17.4548,2003-09-30T00:00:00,FY2003H1  
gfi:sj,pe,2003-12-31T00:00:00,18.7656,2004-03-31T00:00:00,FY2003H2  
gfi:sj,pe,2004-06-30T00:00:00,82.477,2004-09-30T00:00:00,FY2004H1  
gfi:sj,pe,2005-06-30T00:00:00,458.8649,2005-09-30T00:00:00,FY2005H1  
gfi:sj,pe,2005-12-31T00:00:00,72.2387,2006-03-31T00:00:00,FY2005H2  
gfi:sj,pe,2006-06-30T00:00:00,25.7687,2006-09-30T00:00:00,FY2006H1  
gfi:sj,pe,2006-12-31T00:00:00,20.4707,2007-03-31T00:00:00,FY2006H2  
gfi:sj,pe,2007-06-30T00:00:00,24.8989,2007-09-30T00:00:00,FY2007H1  
gfi:sj,pe,2007-12-31T00:00:00,12.1396,2008-03-31T00:00:00,FY2007H2  
gfi:sj,pe,2008-06-30T00:00:00,9.7624,2008-09-30T00:00:00,FY2008H1  
gfi:sj,pe,2008-12-31T00:00:00,23.4365,2009-03-31T00:00:00,FY2008H2  
gfi:sj,pe,2009-06-30T00:00:00,28.5996,2009-09-30T00:00:00,FY2009H1  
gfi:sj,pe,2009-12-31T00:00:00,25.7247,2010-03-31T00:00:00,FY2009H2  
gfi:sj,pe,2010-06-30T00:00:00,25.4093,2010-09-30T00:00:00,FY2010H1  
gfi:sj,pe,2010-12-31T00:00:00,35.6141,2011-03-31T00:00:00,FY2010H2  
gfi:sj,pe,2011-06-30T00:00:00,30.9298,2011-09-30T00:00:00,FY2011H1  
gfi:sj,pe,2011-12-31T00:00:00,15.9929,2012-03-31T00:00:00,FY2011H2  
gfi:sj,pe,2012-06-30T00:00:00,17.2204,2012-09-30T00:00:00,FY2012H1  
gfi:sj,pe,2012-12-31T00:00:00,13.8279,2013-03-31T00:00:00,FY2012H2  
gfi:sj,pe,2016-12-31T00:00:00,17.7676,2016-12-31T00:00:00,FY2016H2  
gfi:sj,pe,2017-06-30T00:00:00,38.0691,2017-06-30T00:00:00,FY2017H1  
gfi:sj,pe,2019-06-30T00:00:00,63.6054,2019-06-30T00:00:00,FY2019H1  
gfi:sj,pe,2019-12-31T00:00:00,47.9618,2019-12-31T00:00:00,FY2019H2  
gfi:sj,pe,2020-06-30T00:00:00,32.5354,2020-06-30T00:00:00,FY2020H1  
gfi:sj,pe,2020-12-31T00:00:00,11.1872,2020-12-31T00:00:00,FY2020H2  
gfi:sj,pe,2021-06-30T00:00:00,10.2409,2021-06-30T00:00:00,FY2021H1  
gfi:sj,pe,2021-12-31T00:00:00,10.6448,2021-12-31T00:00:00,FY2021H2  
gfi:sj,pe,2022-06-30T00:00:00,10.1938,2022-06-30T00:00:00,FY2022H1  
gfi:sj,pe,2022-12-31T00:00:00,17.4793,2022-12-31T00:00:00,FY2023H1  
gfi:sj,pe,2023-06-30T00:00:00,21.028,2023-06-30T00:00:00,FY2023H2  
gfi:sj,pe,2023-12-31T00:00:00,18.6313,2023-12-31T00:00:00,FY2023H2  
gfi:sj,pe,2024-06-30T00:00:00,17.9561,2024-06-30T00:00:00,FY2024H1  
