symbol,category,date,value,reportDate,reference
mtn:sj,pe,2000-12-31T00:00:00,28.4698,2001-03-31T00:00:00,FY2001H2  
mtn:sj,pe,2001-12-31T00:00:00,34.1816,2002-03-31T00:00:00,FY2002H2  
mtn:sj,pe,2002-12-31T00:00:00,14.0934,2003-03-31T00:00:00,FY2003H1  
mtn:sj,pe,2003-06-30T00:00:00,15.6061,2003-09-30T00:00:00,FY2003H2  
mtn:sj,pe,2004-03-31T00:00:00,12.9668,2004-03-31T00:00:00,FY2004H1  
mtn:sj,pe,2004-09-30T00:00:00,15.0906,2004-09-30T00:00:00,FY2004H2  
mtn:sj,pe,2005-09-30T00:00:00,14.0427,2005-09-30T00:00:00,FY2005H2  
mtn:sj,pe,2006-12-31T00:00:00,16.6893,2006-12-31T00:00:00,FY2007H1  
mtn:sj,pe,2007-06-30T00:00:00,21.6976,2007-06-30T00:00:00,FY2007H2  
mtn:sj,pe,2007-12-31T00:00:00,21.8462,2007-12-31T00:00:00,FY2008H1  
mtn:sj,pe,2008-06-30T00:00:00,17.9071,2008-06-30T00:00:00,FY2008H2  
mtn:sj,pe,2008-12-31T00:00:00,14.5,2008-12-31T00:00:00,FY2009H1  
mtn:sj,pe,2009-06-30T00:00:00,13.2325,2009-06-30T00:00:00,FY2009H2  
mtn:sj,pe,2009-12-31T00:00:00,13.0187,2009-12-31T00:00:00,FY2010H1  
mtn:sj,pe,2010-06-30T00:00:00,16.8099,2010-06-30T00:00:00,FY2010H2  
mtn:sj,pe,2010-12-31T00:00:00,18.9106,2010-12-31T00:00:00,FY2011H1  
mtn:sj,pe,2011-06-30T00:00:00,17.3126,2011-06-30T00:00:00,FY2011H2  
mtn:sj,pe,2011-12-31T00:00:00,12.6653,2011-12-31T00:00:00,FY2012H1  
mtn:sj,pe,2012-06-30T00:00:00,15.0466,2012-06-30T00:00:00,FY2012H2  
mtn:sj,pe,2012-12-31T00:00:00,16.4944,2012-12-31T00:00:00,FY2013H1  
mtn:sj,pe,2013-06-30T00:00:00,17.5014,2013-06-30T00:00:00,FY2013H2  
mtn:sj,pe,2013-12-31T00:00:00,15.4263,2013-12-31T00:00:00,FY2014H1  
mtn:sj,pe,2014-06-30T00:00:00,14.9216,2014-06-30T00:00:00,FY2014H2  
mtn:sj,pe,2014-12-31T00:00:00,13.13,2014-12-31T00:00:00,FY2015H1  
mtn:sj,pe,2015-06-30T00:00:00,7.9786,2015-06-30T00:00:00,FY2015H2  
mtn:sj,pe,2015-12-31T00:00:00,12.9293,2015-12-31T00:00:00,FY2016H1  
mtn:sj,pe,2016-06-30T00:00:00,81.8903,2016-06-30T00:00:00,FY2016H2  
mtn:sj,pe,2017-06-30T00:00:00,29.9942,2017-06-30T00:00:00,FY2017H2  
mtn:sj,pe,2017-12-31T00:00:00,45.1183,2017-12-31T00:00:00,FY2018H1  
mtn:sj,pe,2018-06-30T00:00:00,49.0607,2018-06-30T00:00:00,FY2018H2  
mtn:sj,pe,2018-12-31T00:00:00,22.3374,2018-12-31T00:00:00,FY2019H1  
mtn:sj,pe,2019-06-30T00:00:00,16.8768,2019-06-30T00:00:00,FY2019H2  
mtn:sj,pe,2019-12-31T00:00:00,10.5983,2019-12-31T00:00:00,FY2020H1  
mtn:sj,pe,2020-06-30T00:00:00,6.5518,2020-06-30T00:00:00,FY2020H2  
mtn:sj,pe,2020-12-31T00:00:00,10.9966,2020-12-31T00:00:00,FY2021H1  
mtn:sj,pe,2021-06-30T00:00:00,41.1863,2021-06-30T00:00:00,FY2021H2  
mtn:sj,pe,2021-12-31T00:00:00,17.8859,2021-12-31T00:00:00,FY2022H1  
mtn:sj,pe,2022-06-30T00:00:00,12.4156,2022-06-30T00:00:00,FY2022H2  
mtn:sj,pe,2022-12-31T00:00:00,13.229,2022-12-31T00:00:00,2022-12-31
mtn:sj,pe,2023-06-30T00:00:00,10.4432,2023-06-30T00:00:00,2023-06-30
