symbol,category,date,value,reportDate,reference
ned:sj,pe,2000-12-31T00:00:00,5.9421,2000-12-31T00:00:00,FY2001H1  
ned:sj,pe,2001-12-31T00:00:00,1565.2933,2001-12-31T00:00:00,FY2002H1  
ned:sj,pe,2002-06-30T00:00:00,9.6026,2002-06-30T00:00:00,FY2002H2  
ned:sj,pe,2002-12-31T00:00:00,22.4744,2002-12-31T00:00:00,FY2003H1  
ned:sj,pe,2003-06-30T00:00:00,25.4899,2003-06-30T00:00:00,FY2003H2  
ned:sj,pe,2004-12-31T00:00:00,17.3919,2004-12-31T00:00:00,FY2005H1  
ned:sj,pe,2005-06-30T00:00:00,18.5826,2005-06-30T00:00:00,FY2005H2  
ned:sj,pe,2005-12-31T00:00:00,11.8835,2005-12-31T00:00:00,FY2006H1  
ned:sj,pe,2006-09-30T00:00:00,11.3466,2006-09-30T00:00:00,FY2006H2  
ned:sj,pe,2007-03-31T00:00:00,12.0256,2007-03-31T00:00:00,FY2007H1  
ned:sj,pe,2007-06-30T00:00:00,11.1963,2007-06-30T00:00:00,FY2007H2  
ned:sj,pe,2007-12-31T00:00:00,6.3422,2007-12-31T00:00:00,FY2008H1  
ned:sj,pe,2008-06-30T00:00:00,5.7836,2008-06-30T00:00:00,FY2008H2  
ned:sj,pe,2008-12-31T00:00:00,6.2899,2008-12-31T00:00:00,FY2009H1  
ned:sj,pe,2009-06-30T00:00:00,9.6079,2009-06-30T00:00:00,FY2009H2  
ned:sj,pe,2009-12-31T00:00:00,10.7801,2009-12-31T00:00:00,FY2010H1  
ned:sj,pe,2010-06-30T00:00:00,13.3618,2010-06-30T00:00:00,FY2010H2  
ned:sj,pe,2010-12-31T00:00:00,13.9669,2010-12-31T00:00:00,FY2011H1  
ned:sj,pe,2011-06-30T00:00:00,12.361,2011-06-30T00:00:00,FY2011H2  
ned:sj,pe,2011-12-31T00:00:00,12.9641,2011-12-31T00:00:00,FY2012H1  
ned:sj,pe,2012-06-30T00:00:00,12.6383,2012-06-30T00:00:00,FY2012H2  
ned:sj,pe,2012-12-31T00:00:00,10.88,2012-12-31T00:00:00,FY2013H1  
ned:sj,pe,2013-06-30T00:00:00,12.361,2013-06-30T00:00:00,FY2013H2  
ned:sj,pe,2013-12-31T00:00:00,12.3489,2013-12-31T00:00:00,FY2014H1  
ned:sj,pe,2014-06-30T00:00:00,12.5061,2014-06-30T00:00:00,FY2014H2  
ned:sj,pe,2014-12-31T00:00:00,11.807,2014-12-31T00:00:00,FY2015H1  
ned:sj,pe,2015-06-30T00:00:00,8.6328,2015-06-30T00:00:00,FY2015H2  
ned:sj,pe,2015-12-31T00:00:00,8.3998,2015-12-31T00:00:00,FY2016H1  
ned:sj,pe,2016-06-30T00:00:00,10.6339,2016-06-30T00:00:00,FY2016H2  
ned:sj,pe,2016-12-31T00:00:00,10.0492,2016-12-31T00:00:00,FY2017H1  
ned:sj,pe,2017-06-30T00:00:00,12.6279,2017-06-30T00:00:00,FY2017H2  
ned:sj,pe,2017-12-31T00:00:00,10.5254,2017-12-31T00:00:00,FY2018H1  
ned:sj,pe,2018-06-30T00:00:00,10.3587,2018-06-30T00:00:00,FY2018H2  
ned:sj,pe,2018-12-31T00:00:00,9.3353,2018-12-31T00:00:00,FY2019H1  
ned:sj,pe,2019-06-30T00:00:00,7.7814,2019-06-30T00:00:00,FY2019H2  
ned:sj,pe,2019-12-31T00:00:00,4.1241,2019-12-31T00:00:00,FY2020H1  
ned:sj,pe,2020-06-30T00:00:00,9.7047,2020-06-30T00:00:00,FY2020H2  
ned:sj,pe,2020-12-31T00:00:00,24.1173,2020-12-31T00:00:00,FY2021H1  
ned:sj,pe,2021-06-30T00:00:00,11.6174,2021-06-30T00:00:00,FY2021H2  
ned:sj,pe,2021-12-31T00:00:00,9.1916,2021-12-31T00:00:00,FY2022H1  
ned:sj,pe,2022-06-30T00:00:00,8.2845,2022-06-30T00:00:00,FY2022H2  
ned:sj,pe,2022-12-31T00:00:00,8.0109,2022-12-31T00:00:00,FY2023H1  
ned:sj,pe,2023-06-30T00:00:00,7.3222,2023-06-30T00:00:00,FY2023H2  
ned:sj,pe,2023-12-31T00:00:00,7.2182,2023-12-31T00:00:00,FY2023H2  
ned:sj,pe,2024-06-30T00:00:00,8.5221,2024-06-30T00:00:00,NULL      
