symbol,category,date,value,reportDate,reference
out:sj,pe,2010-06-30T00:00:00,7.7067,2010-06-30T00:00:00,FY2011H1  
out:sj,pe,2011-06-30T00:00:00,6.163,2011-06-30T00:00:00,FY2011H2  
out:sj,pe,2012-06-30T00:00:00,7.391,2012-06-30T00:00:00,FY2012H2  
out:sj,pe,2012-12-31T00:00:00,8.3976,2012-12-31T00:00:00,FY2013H1  
out:sj,pe,2013-06-30T00:00:00,9.8564,2013-06-30T00:00:00,FY2013H2  
out:sj,pe,2013-12-31T00:00:00,9.8496,2013-12-31T00:00:00,FY2014H1  
out:sj,pe,2014-06-30T00:00:00,10.8054,2014-06-30T00:00:00,FY2014H2  
out:sj,pe,2014-12-31T00:00:00,10.4595,2014-12-31T00:00:00,FY2015H1  
out:sj,pe,2015-06-30T00:00:00,9.7644,2015-06-30T00:00:00,FY2015H2  
out:sj,pe,2015-12-31T00:00:00,11.3755,2015-12-31T00:00:00,FY2016H1  
out:sj,pe,2016-06-30T00:00:00,10.9928,2016-06-30T00:00:00,FY2016H2  
out:sj,pe,2016-12-31T00:00:00,10.5286,2016-12-31T00:00:00,FY2017H1  
out:sj,pe,2017-06-30T00:00:00,11.1094,2017-06-30T00:00:00,FY2017H2  
out:sj,pe,2017-12-31T00:00:00,8.1017,2017-12-31T00:00:00,FY2018H1  
out:sj,pe,2018-06-30T00:00:00,7.8716,2018-06-30T00:00:00,FY2018H2  
out:sj,pe,2018-12-31T00:00:00,7.7471,2018-12-31T00:00:00,FY2019H1  
out:sj,pe,2019-06-30T00:00:00,6.3242,2019-06-30T00:00:00,FY2019H2  
out:sj,pe,2019-12-31T00:00:00,6.4348,2019-12-31T00:00:00,FY2020H1  
out:sj,pe,2020-06-30T00:00:00,17.9302,2020-06-30T00:00:00,FY2020H2  
out:sj,pe,2020-12-31T00:00:00,28.4092,2020-12-31T00:00:00,FY2021H1  
out:sj,pe,2021-06-30T00:00:00,21.4241,2021-06-30T00:00:00,FY2021H2  
out:sj,pe,2021-12-31T00:00:00,39.8232,2021-12-31T00:00:00,FY2022H1  
out:sj,pe,2023-06-30T00:00:00,21.6948,2023-06-30T00:00:00,FY2024H1  
out:sj,pe,2023-12-31T00:00:00,20.6528,2023-12-31T00:00:00,FY2024H1  
