symbol,category,date,value,reportDate,reference
rdf:sj,pe,2004-08-31T00:00:00,4.2363,2004-08-31T00:00:00,FY2004H2  
rdf:sj,pe,2005-02-28T00:00:00,2.5768,2005-02-28T00:00:00,FY2005H1  
rdf:sj,pe,2005-08-31T00:00:00,3.8176,2005-08-31T00:00:00,FY2005H2  
rdf:sj,pe,2006-02-28T00:00:00,2.3101,2006-02-28T00:00:00,FY2006H1  
rdf:sj,pe,2007-02-28T00:00:00,11.6019,2007-02-28T00:00:00,FY2007H1  
rdf:sj,pe,2008-02-29T00:00:00,25.8713,2008-02-29T00:00:00,FY2008H1  
rdf:sj,pe,2010-02-28T00:00:00,13.0575,2010-02-28T00:00:00,FY2010H1  
rdf:sj,pe,2011-02-28T00:00:00,60.6345,2011-02-28T00:00:00,FY2011H1  
rdf:sj,pe,2012-08-31T00:00:00,23.0709,2012-08-31T00:00:00,FY2012H2  
rdf:sj,pe,2013-02-28T00:00:00,30.6197,2013-02-28T00:00:00,FY2013H1  
rdf:sj,pe,2013-08-31T00:00:00,10.4219,2013-08-31T00:00:00,FY2013H2  
rdf:sj,pe,2014-02-28T00:00:00,7.5596,2014-02-28T00:00:00,FY2014H1  
rdf:sj,pe,2015-02-28T00:00:00,10.4605,2015-02-28T00:00:00,FY2015H1  
rdf:sj,pe,2016-02-29T00:00:00,10.6805,2016-02-29T00:00:00,FY2016H1  
rdf:sj,pe,2016-08-31T00:00:00,11.106,2016-08-31T00:00:00,FY2016H2  
rdf:sj,pe,2017-02-28T00:00:00,6.9664,2017-02-28T00:00:00,FY2017H1  
rdf:sj,pe,2017-08-31T00:00:00,15.4846,2017-08-31T00:00:00,FY2017H2  
rdf:sj,pe,2018-02-28T00:00:00,12.3257,2018-02-28T00:00:00,FY2018H1  
rdf:sj,pe,2018-08-31T00:00:00,7.8539,2018-08-31T00:00:00,FY2018H2  
rdf:sj,pe,2019-02-28T00:00:00,11.4856,2019-02-28T00:00:00,FY2019H1  
rdf:sj,pe,2019-08-31T00:00:00,12.2727,2019-08-31T00:00:00,FY2019H2  
rdf:sj,pe,2021-08-31T00:00:00,8.1905,2021-08-31T00:00:00,FY2021H2  
rdf:sj,pe,2022-02-28T00:00:00,5.7955,2022-02-28T00:00:00,FY2022H1  
rdf:sj,pe,2022-08-31T00:00:00,3.1104,2022-08-31T00:00:00,FY2022H2  
rdf:sj,pe,2023-02-28T00:00:00,2.9954,2023-02-28T00:00:00,FY2023H1  
rdf:sj,pe,2023-08-31T00:00:00,18.0227,2023-08-31T00:00:00,FY2023H2  
rdf:sj,pe,2024-02-29T00:00:00,15.6378,2024-02-29T00:00:00,FY2024H1  
rdf:sj,pe,2024-08-31T00:00:00,7.7739,2024-08-31T00:00:00,FY2024H2  
