symbol,category,date,value,reportDate,reference
rem:sj,pe,2000-12-31T00:00:00,1.0894,2001-03-31T00:00:00,FY2000H2  
rem:sj,pe,2001-06-30T00:00:00,1.8002,2001-09-30T00:00:00,FY2001H1  
rem:sj,pe,2002-06-30T00:00:00,1.5599,2002-09-30T00:00:00,FY2002H1  
rem:sj,pe,2002-12-31T00:00:00,0.9009,2003-03-31T00:00:00,FY2002H2  
rem:sj,pe,2003-06-30T00:00:00,1.1482,2003-09-30T00:00:00,FY2003H1  
rem:sj,pe,2003-12-31T00:00:00,2.4504,2004-03-31T00:00:00,FY2003H2  
rem:sj,pe,2004-06-30T00:00:00,1.9862,2004-09-30T00:00:00,FY2004H1  
rem:sj,pe,2004-12-31T00:00:00,1.715,2005-03-31T00:00:00,FY2005H1  
rem:sj,pe,2005-06-30T00:00:00,1.5755,2005-09-30T00:00:00,FY2005H2  
rem:sj,pe,2006-06-30T00:00:00,3.4297,2006-09-30T00:00:00,FY2006H1  
rem:sj,pe,2007-06-30T00:00:00,2.686,2007-09-30T00:00:00,FY2007H1  
rem:sj,pe,2008-06-30T00:00:00,3.2538,2008-09-30T00:00:00,FY2008H1  
rem:sj,pe,2009-06-30T00:00:00,14.8644,2009-09-30T00:00:00,FY2009H1  
rem:sj,pe,2009-12-31T00:00:00,10.2862,2010-03-31T00:00:00,FY2009H2  
rem:sj,pe,2010-06-30T00:00:00,9.2265,2010-09-30T00:00:00,FY2010H1  
rem:sj,pe,2010-12-31T00:00:00,4.0275,2011-03-31T00:00:00,FY2010H2  
rem:sj,pe,2011-12-31T00:00:00,10.0488,2011-12-31T00:00:00,FY2011H2  
rem:sj,pe,2012-06-30T00:00:00,6.4265,2012-06-30T00:00:00,FY2012H1  
rem:sj,pe,2012-12-31T00:00:00,9.9784,2012-12-31T00:00:00,FY2012H2  
rem:sj,pe,2013-06-30T00:00:00,18.6359,2013-06-30T00:00:00,FY2013H1  
rem:sj,pe,2013-12-31T00:00:00,13.6936,2013-12-31T00:00:00,FY2013H2  
rem:sj,pe,2014-06-30T00:00:00,13.6983,2014-06-30T00:00:00,FY2014H1  
rem:sj,pe,2014-12-31T00:00:00,13.0337,2014-12-31T00:00:00,FY2014H2  
rem:sj,pe,2015-06-30T00:00:00,10.4525,2015-06-30T00:00:00,FY2015H1  
rem:sj,pe,2015-12-31T00:00:00,12.2207,2015-12-31T00:00:00,FY2015H2  
rem:sj,pe,2016-06-30T00:00:00,15.7045,2016-06-30T00:00:00,FY2016H1  
rem:sj,pe,2016-12-31T00:00:00,11.3499,2016-12-31T00:00:00,FY2016H2  
rem:sj,pe,2017-06-30T00:00:00,11.7698,2017-06-30T00:00:00,FY2017H1  
rem:sj,pe,2017-12-31T00:00:00,12.7077,2017-12-31T00:00:00,FY2017H2  
rem:sj,pe,2018-06-30T00:00:00,9.421,2018-06-30T00:00:00,FY2018H1  
rem:sj,pe,2018-12-31T00:00:00,11.6607,2018-12-31T00:00:00,FY2018H2  
rem:sj,pe,2021-06-30T00:00:00,20.4596,2021-06-30T00:00:00,FY2021H1  
rem:sj,pe,2021-12-31T00:00:00,9.9883,2021-12-31T00:00:00,FY2021H2  
rem:sj,pe,2022-06-30T00:00:00,5.7272,2022-06-30T00:00:00,FY2022H1  
rem:sj,pe,2022-12-31T00:00:00,6.8203,2022-12-31T00:00:00,2022-12-31
rem:sj,pe,2023-06-30T00:00:00,29.9474,2023-06-30T00:00:00,FY2024H1  
rem:sj,pe,2024-06-30T00:00:00,63.4377,2024-06-30T00:00:00,FY2025H1  
