symbol,category,date,value,reportDate,reference
shp:sj,pe,2000-06-30T00:00:00,10.558,2000-06-30T00:00:00,FY2001H2  
shp:sj,pe,2001-12-31T00:00:00,14.8226,2001-12-31T00:00:00,FY2002H2  
shp:sj,pe,2002-06-30T00:00:00,9.0664,2002-06-30T00:00:00,FY2003H1  
shp:sj,pe,2002-12-31T00:00:00,8.6969,2002-12-31T00:00:00,FY2003H2  
shp:sj,pe,2003-06-30T00:00:00,11.3384,2003-06-30T00:00:00,FY2004H1  
shp:sj,pe,2003-12-31T00:00:00,9.4723,2003-12-31T00:00:00,FY2004H2  
shp:sj,pe,2004-06-30T00:00:00,11.9776,2004-06-30T00:00:00,FY2005H1  
shp:sj,pe,2004-12-31T00:00:00,11.9975,2004-12-31T00:00:00,FY2005H2  
shp:sj,pe,2005-06-30T00:00:00,14.6629,2005-06-30T00:00:00,FY2006H1  
shp:sj,pe,2005-12-31T00:00:00,20.0366,2005-12-31T00:00:00,FY2006H2  
shp:sj,pe,2006-06-30T00:00:00,14.8653,2006-06-30T00:00:00,FY2007H1  
shp:sj,pe,2006-12-31T00:00:00,17.0134,2006-12-31T00:00:00,FY2007H2  
shp:sj,pe,2007-06-30T00:00:00,21.1199,2007-06-30T00:00:00,FY2008H1  
shp:sj,pe,2007-12-31T00:00:00,16.1067,2007-12-31T00:00:00,FY2008H2  
shp:sj,pe,2008-06-30T00:00:00,17.7626,2008-06-30T00:00:00,FY2009H1  
shp:sj,pe,2008-12-31T00:00:00,15.6047,2008-12-31T00:00:00,FY2009H2  
shp:sj,pe,2009-06-30T00:00:00,16.8672,2009-06-30T00:00:00,FY2010H1  
shp:sj,pe,2009-12-31T00:00:00,20.0635,2009-12-31T00:00:00,FY2010H2  
shp:sj,pe,2010-06-30T00:00:00,22.321,2010-06-30T00:00:00,FY2011H1  
shp:sj,pe,2010-12-31T00:00:00,21.539,2010-12-31T00:00:00,FY2011H2  
shp:sj,pe,2011-06-30T00:00:00,27.4667,2011-06-30T00:00:00,FY2012H1  
shp:sj,pe,2011-12-31T00:00:00,27.8065,2011-12-31T00:00:00,FY2012H2  
shp:sj,pe,2012-06-30T00:00:00,34.6867,2012-06-30T00:00:00,FY2013H1  
shp:sj,pe,2012-12-31T00:00:00,29.6196,2012-12-31T00:00:00,FY2013H2  
shp:sj,pe,2013-06-30T00:00:00,24.3922,2013-06-30T00:00:00,FY2014H1  
shp:sj,pe,2013-12-31T00:00:00,22.1294,2013-12-31T00:00:00,FY2014H2  
shp:sj,pe,2014-06-30T00:00:00,24.1308,2014-06-30T00:00:00,FY2015H1  
shp:sj,pe,2014-12-31T00:00:00,23.894,2014-12-31T00:00:00,FY2015H2  
shp:sj,pe,2015-06-30T00:00:00,18.6694,2015-06-30T00:00:00,FY2016H1  
shp:sj,pe,2015-12-31T00:00:00,20.6146,2015-12-31T00:00:00,FY2016H2  
shp:sj,pe,2016-06-30T00:00:00,19.0228,2016-06-30T00:00:00,FY2017H1  
shp:sj,pe,2016-12-31T00:00:00,21.0979,2016-12-31T00:00:00,FY2017H2  
shp:sj,pe,2017-07-31T00:00:00,22.5383,2017-07-31T00:00:00,FY2018H1  
shp:sj,pe,2017-12-31T00:00:00,21.0176,2017-12-31T00:00:00,FY2018H2  
shp:sj,pe,2018-07-31T00:00:00,20.3389,2018-07-31T00:00:00,FY2019H1  
shp:sj,pe,2018-12-31T00:00:00,19.9371,2018-12-31T00:00:00,FY2019H2  
shp:sj,pe,2019-06-30T00:00:00,18.3322,2019-06-30T00:00:00,FY2020H1  
shp:sj,pe,2019-12-31T00:00:00,15.5732,2019-12-31T00:00:00,FY2020H2  
shp:sj,pe,2020-06-30T00:00:00,20.1053,2020-06-30T00:00:00,FY2021H1  
shp:sj,pe,2020-12-31T00:00:00,22.0148,2020-12-31T00:00:00,FY2021H2  
shp:sj,pe,2021-07-31T00:00:00,24.8246,2021-07-31T00:00:00,FY2022H1  
shp:sj,pe,2022-01-31T00:00:00,20.829,2022-01-31T00:00:00,FY2022H2  
shp:sj,pe,2022-07-31T00:00:00,21.5565,2022-07-31T00:00:00,FY2023H1  
shp:sj,pe,2022-12-31T00:00:00,19.6021,2023-01-01T00:00:00,2022-12-31
shp:sj,pe,2023-01-31T00:00:00,19.6004,2023-01-31T00:00:00,FY2023H2  
shp:sj,pe,2023-06-30T00:00:00,23.8226,2023-07-02T00:00:00,FY2024H1  
shp:sj,pe,2023-12-31T00:00:00,23.9949,2023-12-31T00:00:00,FY2024H1  
shp:sj,pe,2024-06-30T00:00:00,24.482,2024-06-30T00:00:00,FY2024H2  
