reportDate,ang:sj,apn:sj,ari:sj,avi:sj,baw:sj,bid:sj,bvt:sj,cls:sj,cpi:sj,dcp:sj,drd:sj,dsy:sj,exx:sj,fsr:sj,gfi:sj,grt:sj,imp:sj,mrp:sj,mtm:sj,mtn:sj,ned:sj,npn:sj,ny1:sj,omu:sj,out:sj,pph:sj,rdf:sj,rem:sj,sbk:sj,shp:sj,snt:sj,sol:sj,ssw:sj,tbs:sj
28/02/2007,122.8818,19.4816,28.2011,12.9008,4.8812,,4.5971,36.5921,18.4357,,269.4083,19.6442,1.0514,9.8131,25.7687,16012.1102,16.626,14.3756,5.3398,16.6893,11.3466,15.9324,,4.3737,,,11.6019,3.4297,10.0708,17.0134,6.8648,11.4549,,8.5799
31/03/2007,306.6088,19.4816,28.2011,12.9008,8.6383,,4.5971,36.5921,18.4357,,4.3505,19.6442,1.0514,9.8131,20.4707,16012.1102,16.626,14.3756,5.3398,16.6893,12.0256,15.9324,,4.3737,,,11.6019,3.4297,10.0708,17.0134,6.8648,11.4549,,11.1084
30/06/2007,306.6088,18.824,26.3699,11.8257,8.6383,,3.6092,36.5921,18.4357,,4.3505,14.0837,1.5326,8.5,20.4707,15939.2748,19.1073,14.3756,4.7772,21.6976,11.1963,15.9324,,3.6503,,,11.6019,3.4297,10.2404,21.1199,5.1841,12.5434,,11.1084
31/08/2007,306.6088,18.824,26.3699,11.8257,8.6383,,3.6092,28.5714,17.9583,,4.3505,14.0837,1.5326,8.5,20.4707,15939.2748,19.1073,14.3756,4.7772,21.6976,11.1963,15.9324,,3.6503,,,11.6019,3.4297,10.2404,21.1199,5.1841,12.5434,,11.1084
30/09/2007,306.6088,18.824,26.3699,11.8257,15.169,,3.6092,28.5714,17.9583,,4.3505,14.0837,1.5326,8.5,24.8989,15939.2748,19.1073,11.2756,4.7772,21.6976,11.1963,13.5405,,3.6503,,,11.6019,2.686,10.2404,21.1199,5.1841,12.5434,,11.1084
31/12/2007,306.6088,13.7979,39.0488,7.5289,15.169,,2.844,28.5714,17.9583,,4.3505,9.7357,29.7729,5.4804,24.8989,8417.4506,25.9403,11.2756,4.4532,21.8462,6.3422,13.5405,,2.4331,,,11.6019,2.686,8.2215,16.1067,7.0424,15.7453,,11.1084
29/02/2008,306.6088,13.7979,39.0488,7.5289,15.169,,2.844,19.9758,10.5393,,4.3505,9.7357,29.7729,5.4804,24.8989,8417.4506,25.9403,11.2756,4.4532,21.8462,6.3422,13.5405,,2.4331,,,25.8713,2.686,8.2215,16.1067,7.0424,15.7453,,11.1084
31/03/2008,306.6088,13.7979,39.0488,7.5289,5.13735,,2.844,19.9758,10.5393,,4.3505,9.7357,29.7729,5.4804,12.1396,8417.4506,25.9403,11.2756,4.4532,21.8462,6.3422,13.5405,,2.4331,,,25.8713,2.686,8.2215,16.1067,7.0424,15.7453,,9.3847
30/06/2008,306.6088,14.2337,5.3163,12.0067,5.13735,,2.6686,19.9758,10.5393,,4.3505,12.2301,11.6478,6.846,12.1396,8417.4506,4.6433,11.2756,7.1926,17.9071,5.7836,13.5405,,1.3227,,,25.8713,2.686,8.1626,17.7626,19.4502,7.5978,,9.3847
31/08/2008,306.6088,14.2337,5.3163,12.0067,5.13735,,2.6686,25.372,10.0837,,4.3505,12.2301,11.6478,6.846,12.1396,8417.4506,4.6433,11.2756,7.1926,17.9071,5.7836,13.5405,,1.3227,,,25.8713,2.686,8.1626,17.7626,19.4502,7.5978,,9.3847
