symbol,category,date,value,reportDate,reference
ari:sj,pe,2000-06-30T00:00:00,1.0997,2000-06-30T00:00:00,FY2001H2  
ari:sj,pe,2001-06-30T00:00:00,14.3719,2001-06-30T00:00:00,FY2002H1  
ari:sj,pe,2002-12-31T00:00:00,11.8432,2002-12-31T00:00:00,FY2003H2  
ari:sj,pe,2004-06-30T00:00:00,2.7867,2004-06-30T00:00:00,FY2005H1  
ari:sj,pe,2004-12-31T00:00:00,3.1808,2004-12-31T00:00:00,FY2005H2  
ari:sj,pe,2005-06-30T00:00:00,18.6127,2005-06-30T00:00:00,FY2006H1  
ari:sj,pe,2005-12-31T00:00:00,21.0873,2005-12-31T00:00:00,FY2006H2  
ari:sj,pe,2006-06-30T00:00:00,34.7173,2006-06-30T00:00:00,FY2007H1  
ari:sj,pe,2006-12-31T00:00:00,28.2011,2006-12-31T00:00:00,FY2007H2  
ari:sj,pe,2007-06-30T00:00:00,26.3699,2007-06-30T00:00:00,FY2008H1  
ari:sj,pe,2007-12-31T00:00:00,39.0488,2007-12-31T00:00:00,FY2008H2  
ari:sj,pe,2008-06-30T00:00:00,5.3163,2008-06-30T00:00:00,FY2009H1  
ari:sj,pe,2008-12-31T00:00:00,4.7809,2008-12-31T00:00:00,FY2009H2  
ari:sj,pe,2009-06-30T00:00:00,13.0259,2009-06-30T00:00:00,FY2010H1  
ari:sj,pe,2009-12-31T00:00:00,31.7468,2009-12-31T00:00:00,FY2010H2  
ari:sj,pe,2010-06-30T00:00:00,24.9409,2010-06-30T00:00:00,FY2011H1  
ari:sj,pe,2010-12-31T00:00:00,13.8961,2010-12-31T00:00:00,FY2011H2  
ari:sj,pe,2011-06-30T00:00:00,11.0485,2011-06-30T00:00:00,FY2012H1  
ari:sj,pe,2011-12-31T00:00:00,9.3718,2011-12-31T00:00:00,FY2012H2  
ari:sj,pe,2012-06-30T00:00:00,11.8822,2012-06-30T00:00:00,FY2013H1  
ari:sj,pe,2012-12-31T00:00:00,11.5303,2012-12-31T00:00:00,FY2013H2  
ari:sj,pe,2013-06-30T00:00:00,25.0898,2013-06-30T00:00:00,FY2014H1  
ari:sj,pe,2013-12-31T00:00:00,20.9741,2013-12-31T00:00:00,FY2014H2  
ari:sj,pe,2014-06-30T00:00:00,7.8792,2014-06-30T00:00:00,FY2015H1  
ari:sj,pe,2014-12-31T00:00:00,7.596,2014-12-31T00:00:00,FY2015H2  
ari:sj,pe,2015-06-30T00:00:00,93.7352,2015-06-30T00:00:00,FY2016H1  
ari:sj,pe,2016-06-30T00:00:00,11.8758,2016-06-30T00:00:00,FY2017H1  
ari:sj,pe,2016-12-31T00:00:00,7.0776,2016-12-31T00:00:00,FY2017H2  
ari:sj,pe,2017-06-30T00:00:00,17.2339,2017-06-30T00:00:00,FY2018H1  
ari:sj,pe,2017-12-31T00:00:00,5.8497,2017-12-31T00:00:00,FY2018H2  
ari:sj,pe,2018-06-30T00:00:00,5.7862,2018-06-30T00:00:00,FY2019H1  
ari:sj,pe,2018-12-31T00:00:00,8.5259,2018-12-31T00:00:00,FY2019H2  
ari:sj,pe,2019-06-30T00:00:00,9.015,2019-06-30T00:00:00,FY2020H1  
ari:sj,pe,2019-12-31T00:00:00,7.5713,2019-12-31T00:00:00,FY2020H2  
ari:sj,pe,2020-06-30T00:00:00,13.0204,2020-06-30T00:00:00,FY2021H1  
ari:sj,pe,2020-12-31T00:00:00,7.5111,2020-12-31T00:00:00,FY2021H2  
ari:sj,pe,2021-06-30T00:00:00,3.6155,2021-06-30T00:00:00,FY2022H1  
ari:sj,pe,2021-12-31T00:00:00,3.6291,2021-12-31T00:00:00,FY2022H2  
ari:sj,pe,2022-06-30T00:00:00,4.5552,2022-06-30T00:00:00,FY2023H1  
ari:sj,pe,2022-12-31T00:00:00,3.0203,2022-12-31T00:00:00,FY2023H2  
ari:sj,pe,2023-06-30T00:00:00,4.8644,2023-06-30T00:00:00,FY2024H1  
ari:sj,pe,2023-12-31T00:00:00,9.0879,2023-12-31T00:00:00,FY2024H1  
