symbol,category,date,value,reportDate,reference
avi:sj,pe,2000-06-30T00:00:00,6.2846,2000-06-30T00:00:00,FY2001H1  
avi:sj,pe,2001-06-30T00:00:00,5.4299,2001-06-30T00:00:00,FY2001H2  
avi:sj,pe,2002-06-30T00:00:00,4.6781,2002-06-30T00:00:00,FY2002H2  
avi:sj,pe,2002-12-31T00:00:00,3.9641,2002-12-31T00:00:00,FY2003H1  
avi:sj,pe,2003-06-30T00:00:00,4.1113,2003-06-30T00:00:00,FY2003H2  
avi:sj,pe,2003-12-31T00:00:00,6.7547,2003-12-31T00:00:00,FY2004H1  
avi:sj,pe,2004-06-30T00:00:00,13.797,2004-06-30T00:00:00,FY2004H2  
avi:sj,pe,2004-12-31T00:00:00,12.8098,2004-12-31T00:00:00,FY2005H1  
avi:sj,pe,2005-06-30T00:00:00,14.9151,2005-06-30T00:00:00,FY2005H2  
avi:sj,pe,2005-12-31T00:00:00,11.7829,2005-12-31T00:00:00,FY2006H1  
avi:sj,pe,2006-06-30T00:00:00,17.4324,2006-06-30T00:00:00,FY2006H2  
avi:sj,pe,2006-12-31T00:00:00,12.9008,2006-12-31T00:00:00,FY2007H1  
avi:sj,pe,2007-06-30T00:00:00,11.8257,2007-06-30T00:00:00,FY2007H2  
avi:sj,pe,2007-12-31T00:00:00,7.5289,2007-12-31T00:00:00,FY2008H1  
avi:sj,pe,2008-06-30T00:00:00,12.0067,2008-06-30T00:00:00,FY2008H2  
avi:sj,pe,2008-12-31T00:00:00,8.5324,2008-12-31T00:00:00,FY2009H1  
avi:sj,pe,2009-06-30T00:00:00,10.7865,2009-06-30T00:00:00,FY2009H2  
avi:sj,pe,2009-12-31T00:00:00,12.1079,2009-12-31T00:00:00,FY2010H1  
avi:sj,pe,2010-06-30T00:00:00,14.5428,2010-06-30T00:00:00,FY2010H2  
avi:sj,pe,2010-12-31T00:00:00,12.8983,2010-12-31T00:00:00,FY2011H1  
avi:sj,pe,2011-06-30T00:00:00,15.4073,2011-06-30T00:00:00,FY2011H2  
avi:sj,pe,2011-12-31T00:00:00,16.2045,2011-12-31T00:00:00,FY2012H1  
avi:sj,pe,2012-06-30T00:00:00,18.1262,2012-06-30T00:00:00,FY2012H2  
avi:sj,pe,2012-12-31T00:00:00,17.2045,2012-12-31T00:00:00,FY2013H1  
avi:sj,pe,2013-06-30T00:00:00,16.1717,2013-06-30T00:00:00,FY2013H2  
avi:sj,pe,2013-12-31T00:00:00,14.5531,2013-12-31T00:00:00,FY2014H1  
avi:sj,pe,2014-06-30T00:00:00,17.5133,2014-06-30T00:00:00,FY2014H2  
avi:sj,pe,2014-12-31T00:00:00,19.3967,2014-12-31T00:00:00,FY2015H1  
avi:sj,pe,2015-06-30T00:00:00,17.7104,2015-06-30T00:00:00,FY2015H2  
avi:sj,pe,2015-12-31T00:00:00,17.7642,2015-12-31T00:00:00,FY2016H1  
avi:sj,pe,2016-06-30T00:00:00,18.8646,2016-06-30T00:00:00,FY2016H2  
avi:sj,pe,2016-12-31T00:00:00,18.5233,2016-12-31T00:00:00,FY2017H1  
avi:sj,pe,2017-06-30T00:00:00,21.8645,2017-06-30T00:00:00,FY2017H2  
avi:sj,pe,2017-12-31T00:00:00,20.4798,2017-12-31T00:00:00,FY2018H1  
avi:sj,pe,2018-06-30T00:00:00,19.197,2018-06-30T00:00:00,FY2018H2  
avi:sj,pe,2018-12-31T00:00:00,18.0461,2018-12-31T00:00:00,FY2019H1  
avi:sj,pe,2019-06-30T00:00:00,17.611,2019-06-30T00:00:00,FY2019H2  
avi:sj,pe,2019-12-31T00:00:00,11.4401,2019-12-31T00:00:00,FY2020H1  
avi:sj,pe,2020-06-30T00:00:00,11.9582,2020-06-30T00:00:00,FY2020H2  
avi:sj,pe,2020-12-31T00:00:00,14.9154,2020-12-31T00:00:00,FY2021H1  
avi:sj,pe,2021-06-30T00:00:00,14.8578,2021-06-30T00:00:00,FY2021H2  
avi:sj,pe,2021-12-31T00:00:00,12.6996,2021-12-31T00:00:00,FY2022H1  
avi:sj,pe,2022-06-30T00:00:00,14.2234,2022-06-30T00:00:00,FY2022H2  
avi:sj,pe,2022-12-31T00:00:00,12.834,2022-12-31T00:00:00,FY2023H2  
avi:sj,pe,2023-06-30T00:00:00,14.8189,2023-06-30T00:00:00,FY2024H1  
avi:sj,pe,2023-12-31T00:00:00,15.1628,2023-12-31T00:00:00,FY2024H1  
avi:sj,pe,2024-06-30T00:00:00,16.2356,2024-06-30T00:00:00,FY2025H1  
