symbol,category,date,value,reportDate,reference
bvt:sj,pe,2000-06-30T00:00:00,4.3083,2000-06-30T00:00:00,FY2001H1  
bvt:sj,pe,2001-06-30T00:00:00,3.3271,2001-06-30T00:00:00,FY2001H2  
bvt:sj,pe,2002-06-30T00:00:00,2.876,2002-06-30T00:00:00,FY2002H2  
bvt:sj,pe,2002-12-31T00:00:00,2.5813,2002-12-31T00:00:00,FY2003H1  
bvt:sj,pe,2003-06-30T00:00:00,2.9742,2003-06-30T00:00:00,FY2003H2  
bvt:sj,pe,2003-12-31T00:00:00,3.1408,2003-12-31T00:00:00,FY2004H1  
bvt:sj,pe,2004-06-30T00:00:00,4.1695,2004-06-30T00:00:00,FY2004H2  
bvt:sj,pe,2004-12-31T00:00:00,3.3274,2004-12-31T00:00:00,FY2005H1  
bvt:sj,pe,2005-06-30T00:00:00,3.8523,2005-06-30T00:00:00,FY2005H2  
bvt:sj,pe,2005-12-31T00:00:00,3.7893,2005-12-31T00:00:00,FY2006H1  
bvt:sj,pe,2006-06-30T00:00:00,4.7845,2006-06-30T00:00:00,FY2006H2  
bvt:sj,pe,2006-12-31T00:00:00,4.5971,2006-12-31T00:00:00,FY2007H1  
bvt:sj,pe,2007-06-30T00:00:00,3.6092,2007-06-30T00:00:00,FY2007H2  
bvt:sj,pe,2007-12-31T00:00:00,2.844,2007-12-31T00:00:00,FY2008H1  
bvt:sj,pe,2008-06-30T00:00:00,2.6686,2008-06-30T00:00:00,FY2008H2  
bvt:sj,pe,2008-12-31T00:00:00,2.3931,2008-12-31T00:00:00,FY2009H1  
bvt:sj,pe,2009-06-30T00:00:00,3.7798,2009-06-30T00:00:00,FY2009H2  
bvt:sj,pe,2009-12-31T00:00:00,3.7151,2009-12-31T00:00:00,FY2010H1  
bvt:sj,pe,2010-06-30T00:00:00,4.0188,2010-06-30T00:00:00,FY2010H2  
bvt:sj,pe,2010-12-31T00:00:00,3.6865,2010-12-31T00:00:00,FY2011H1  
bvt:sj,pe,2011-06-30T00:00:00,3.7876,2011-06-30T00:00:00,FY2011H2  
bvt:sj,pe,2011-12-31T00:00:00,3.866,2011-12-31T00:00:00,FY2012H1  
bvt:sj,pe,2012-06-30T00:00:00,4.0871,2012-06-30T00:00:00,FY2012H2  
bvt:sj,pe,2012-12-31T00:00:00,4.6101,2012-12-31T00:00:00,FY2013H1  
bvt:sj,pe,2013-06-30T00:00:00,4.789,2013-06-30T00:00:00,FY2013H2  
bvt:sj,pe,2013-12-31T00:00:00,4.6395,2013-12-31T00:00:00,FY2014H1  
bvt:sj,pe,2014-06-30T00:00:00,5.6656,2014-06-30T00:00:00,FY2014H2  
bvt:sj,pe,2014-12-31T00:00:00,5.733,2014-12-31T00:00:00,FY2015H1  
bvt:sj,pe,2015-06-30T00:00:00,9.2188,2015-06-30T00:00:00,FY2015H2  
bvt:sj,pe,2015-12-31T00:00:00,26.216,2015-12-31T00:00:00,FY2016H1  
bvt:sj,pe,2016-06-30T00:00:00,26.243,2016-06-30T00:00:00,FY2016H2  
bvt:sj,pe,2016-12-31T00:00:00,18.3483,2016-12-31T00:00:00,FY2017H1  
bvt:sj,pe,2017-06-30T00:00:00,15.3364,2017-06-30T00:00:00,FY2017H2  
bvt:sj,pe,2017-12-31T00:00:00,14.1498,2017-12-31T00:00:00,FY2018H1  
bvt:sj,pe,2018-06-30T00:00:00,18.2662,2018-06-30T00:00:00,FY2018H2  
bvt:sj,pe,2018-12-31T00:00:00,15.3589,2018-12-31T00:00:00,FY2019H1  
bvt:sj,pe,2019-06-30T00:00:00,18.109,2019-06-30T00:00:00,FY2019H2  
bvt:sj,pe,2019-12-31T00:00:00,14.9203,2019-12-31T00:00:00,FY2020H1  
bvt:sj,pe,2020-06-30T00:00:00,297.0994,2020-06-30T00:00:00,FY2020H2  
bvt:sj,pe,2020-12-31T00:00:00,140.0431,2020-12-31T00:00:00,FY2021H1  
bvt:sj,pe,2021-06-30T00:00:00,16.7749,2021-06-30T00:00:00,FY2021H2  
bvt:sj,pe,2021-12-31T00:00:00,15.214,2021-12-31T00:00:00,FY2022H1  
bvt:sj,pe,2022-06-30T00:00:00,14.3882,2022-06-30T00:00:00,FY2022H2  
bvt:sj,pe,2022-12-31T00:00:00,16.3883,2022-12-31T00:00:00,FY2023H2  
bvt:sj,pe,2023-06-30T00:00:00,14.3922,2023-06-30T00:00:00,FY2023H2  
bvt:sj,pe,2023-12-31T00:00:00,15.857,2023-12-31T00:00:00,FY2024H1  
bvt:sj,pe,2024-06-30T00:00:00,14.1079,2024-06-30T00:00:00,FY2024H2  
