symbol,category,date,value,reportDate,reference
dcp:sj,pe,2016-02-29T00:00:00,13.0684,2016-02-29T00:00:00,FY2017H2  
dcp:sj,pe,2017-08-31T00:00:00,29.8387,2017-08-31T00:00:00,FY2018H2  
dcp:sj,pe,2018-08-31T00:00:00,30.2674,2018-08-31T00:00:00,FY2019H2  
dcp:sj,pe,2019-08-31T00:00:00,41.5341,2019-08-31T00:00:00,FY2020H1  
dcp:sj,pe,2020-02-29T00:00:00,25.1926,2020-02-29T00:00:00,FY2020H2  
dcp:sj,pe,2020-08-31T00:00:00,43.1052,2020-08-31T00:00:00,FY2021H2  
dcp:sj,pe,2021-08-31T00:00:00,35.2032,2021-08-31T00:00:00,FY2022H2  
dcp:sj,pe,2022-08-31T00:00:00,23.7969,2022-08-31T00:00:00,FY2023H1  
dcp:sj,pe,2023-08-31T00:00:00,29.3465,2023-08-31T00:00:00,FY2024H1  
dcp:sj,pe,2024-02-29T00:00:00,29.34,2024-02-29T00:00:00,FY2024H2  
dcp:sj,pe,2024-08-31T00:00:00,29.1819,2024-08-31T00:00:00,FY2025H1  
