symbol,category,date,value,reportDate,reference
drd:sj,pe,2003-06-30T00:00:00,11.1674,2003-06-30T00:00:00,FY2003H2  
drd:sj,pe,2006-06-30T00:00:00,269.4083,2006-09-30T00:00:00,FY2006H2  
drd:sj,pe,2006-12-31T00:00:00,4.3505,2007-03-31T00:00:00,FY2007H1  
drd:sj,pe,2008-06-30T00:00:00,6.3473,2008-09-30T00:00:00,FY2008H2  
drd:sj,pe,2008-12-31T00:00:00,10.6509,2009-03-31T00:00:00,FY2009H1  
drd:sj,pe,2010-06-30T00:00:00,4.8326,2010-09-30T00:00:00,FY2010H2  
drd:sj,pe,2010-12-31T00:00:00,3.7856,2011-03-31T00:00:00,FY2011H1  
drd:sj,pe,2011-06-30T00:00:00,19.0848,2011-09-30T00:00:00,FY2011H2  
drd:sj,pe,2011-12-31T00:00:00,17.8411,2012-03-31T00:00:00,FY2012H1  
drd:sj,pe,2012-06-30T00:00:00,9.7888,2012-09-30T00:00:00,FY2012H2  
drd:sj,pe,2012-12-31T00:00:00,5.9666,2013-03-31T00:00:00,FY2013H1  
drd:sj,pe,2014-12-31T00:00:00,221.3813,2015-03-31T00:00:00,FY2015H1  
drd:sj,pe,2015-06-30T00:00:00,16.0054,2015-06-30T00:00:00,FY2015H2  
drd:sj,pe,2015-12-31T00:00:00,40.2605,2015-12-31T00:00:00,FY2016H1  
drd:sj,pe,2016-06-30T00:00:00,50.4562,2016-06-30T00:00:00,FY2016H2  
drd:sj,pe,2016-12-31T00:00:00,37.5498,2016-12-31T00:00:00,FY2017H1  
drd:sj,pe,2017-06-30T00:00:00,129.0819,2017-06-30T00:00:00,FY2017H2  
drd:sj,pe,2017-12-31T00:00:00,21.5162,2017-12-31T00:00:00,FY2018H1  
drd:sj,pe,2018-06-30T00:00:00,203.2468,2018-06-30T00:00:00,FY2018H2  
drd:sj,pe,2019-06-30T00:00:00,73.6088,2019-06-30T00:00:00,FY2019H2  
drd:sj,pe,2019-12-31T00:00:00,41.7047,2019-12-31T00:00:00,FY2020H1  
drd:sj,pe,2020-06-30T00:00:00,21.8456,2020-06-30T00:00:00,FY2020H2  
drd:sj,pe,2020-12-31T00:00:00,10.2705,2020-12-31T00:00:00,FY2021H1  
drd:sj,pe,2021-06-30T00:00:00,7.8915,2021-06-30T00:00:00,FY2021H2  
drd:sj,pe,2021-12-31T00:00:00,8.6251,2021-12-31T00:00:00,FY2022H1  
drd:sj,pe,2022-06-30T00:00:00,9.3779,2022-06-30T00:00:00,FY2022H2  
drd:sj,pe,2022-12-31T00:00:00,14.7423,2022-12-31T00:00:00,FY2023H2  
drd:sj,pe,2023-06-30T00:00:00,10.6553,2023-06-30T00:00:00,FY2024H1  
drd:sj,pe,2023-12-31T00:00:00,10.2036,2023-12-31T00:00:00,FY2024H1  
drd:sj,pe,2024-06-30T00:00:00,10.7683,2024-06-30T00:00:00,FY2025H1  
