symbol,category,date,value,reportDate,reference
exx:sj,pe,2002-06-30T00:00:00,2.588,2002-06-30T00:00:00,FY2002H2  
exx:sj,pe,2002-12-31T00:00:00,2.5999,2002-12-31T00:00:00,FY2003H1  
exx:sj,pe,2003-06-30T00:00:00,4.0842,2003-06-30T00:00:00,FY2003H2  
exx:sj,pe,2003-12-31T00:00:00,4.6573,2003-12-31T00:00:00,FY2004H1  
exx:sj,pe,2004-06-30T00:00:00,6.8795,2004-06-30T00:00:00,FY2004H2  
exx:sj,pe,2004-12-31T00:00:00,7.1781,2004-12-31T00:00:00,FY2005H1  
exx:sj,pe,2005-06-30T00:00:00,6.1421,2005-06-30T00:00:00,FY2005H2  
exx:sj,pe,2005-12-31T00:00:00,3.3375,2005-12-31T00:00:00,FY2006H1  
exx:sj,pe,2006-06-30T00:00:00,7.7778,2006-06-30T00:00:00,FY2006H2  
exx:sj,pe,2006-12-31T00:00:00,1.0514,2006-12-31T00:00:00,FY2007H1  
exx:sj,pe,2007-06-30T00:00:00,1.5326,2007-06-30T00:00:00,FY2007H2  
exx:sj,pe,2007-12-31T00:00:00,29.7729,2007-12-31T00:00:00,FY2008H1  
exx:sj,pe,2008-06-30T00:00:00,11.6478,2008-06-30T00:00:00,FY2008H2  
exx:sj,pe,2008-12-31T00:00:00,6.6669,2008-12-31T00:00:00,FY2009H1  
exx:sj,pe,2009-06-30T00:00:00,8.8359,2009-06-30T00:00:00,FY2009H2  
exx:sj,pe,2009-12-31T00:00:00,32.8253,2009-12-31T00:00:00,FY2010H1  
exx:sj,pe,2010-06-30T00:00:00,20.6637,2010-06-30T00:00:00,FY2010H2  
exx:sj,pe,2010-12-31T00:00:00,10.336,2010-12-31T00:00:00,FY2011H1  
exx:sj,pe,2011-06-30T00:00:00,7.9832,2011-06-30T00:00:00,FY2011H2  
exx:sj,pe,2011-12-31T00:00:00,9.2345,2011-12-31T00:00:00,FY2012H1  
exx:sj,pe,2012-06-30T00:00:00,8.2126,2012-06-30T00:00:00,FY2012H2  
exx:sj,pe,2012-12-31T00:00:00,9.2962,2012-12-31T00:00:00,FY2013H1  
exx:sj,pe,2013-06-30T00:00:00,12.5604,2013-06-30T00:00:00,FY2013H2  
exx:sj,pe,2013-12-31T00:00:00,7.9113,2013-12-31T00:00:00,FY2014H1  
exx:sj,pe,2014-06-30T00:00:00,66.2603,2014-06-30T00:00:00,FY2014H2  
exx:sj,pe,2015-06-30T00:00:00,4.6877,2015-06-30T00:00:00,FY2015H2  
exx:sj,pe,2015-12-31T00:00:00,33.9572,2015-12-31T00:00:00,FY2016H1  
exx:sj,pe,2016-06-30T00:00:00,33.9343,2016-06-30T00:00:00,FY2016H2  
exx:sj,pe,2016-12-31T00:00:00,4.9428,2016-12-31T00:00:00,FY2017H1  
exx:sj,pe,2017-06-30T00:00:00,6.2468,2017-06-30T00:00:00,FY2017H2  
exx:sj,pe,2017-12-31T00:00:00,11.3954,2017-12-31T00:00:00,FY2018H1  
exx:sj,pe,2018-06-30T00:00:00,12.6498,2018-06-30T00:00:00,FY2018H2  
exx:sj,pe,2018-12-31T00:00:00,7.3725,2018-12-31T00:00:00,FY2019H1  
exx:sj,pe,2019-06-30T00:00:00,5.1804,2019-06-30T00:00:00,FY2019H2  
exx:sj,pe,2019-12-31T00:00:00,4.7668,2019-12-31T00:00:00,FY2020H1  
exx:sj,pe,2020-06-30T00:00:00,4.4576,2020-06-30T00:00:00,FY2020H2  
exx:sj,pe,2020-12-31T00:00:00,5.9801,2020-12-31T00:00:00,FY2021H1  
exx:sj,pe,2021-06-30T00:00:00,3.9878,2021-06-30T00:00:00,FY2021H2  
exx:sj,pe,2021-12-31T00:00:00,4.3802,2021-12-31T00:00:00,FY2022H1  
exx:sj,pe,2022-06-30T00:00:00,3.1409,2022-06-30T00:00:00,FY2023H1  
exx:sj,pe,2022-12-31T00:00:00,2.8753,2022-12-31T00:00:00,FY2023H1  
exx:sj,pe,2023-06-30T00:00:00,4.3101,2023-06-30T00:00:00,FY2023H2  
exx:sj,pe,2023-12-31T00:00:00,3.8147,2023-12-31T00:00:00,FY2023H2  
exx:sj,pe,2024-06-30T00:00:00,4.2129,2024-06-30T00:00:00,FY2024H2  
