symbol,category,date,value,reportDate,reference
fsr:sj,pe,2000-06-30T00:00:00,12.5738,2000-06-30T00:00:00,FY2001H2  
fsr:sj,pe,2001-06-30T00:00:00,8.9695,2001-06-30T00:00:00,FY2002H1  
fsr:sj,pe,2002-06-30T00:00:00,7.0473,2002-06-30T00:00:00,FY2003H1  
fsr:sj,pe,2003-06-30T00:00:00,8.351,2003-06-30T00:00:00,FY2004H1  
fsr:sj,pe,2003-12-31T00:00:00,8.8533,2003-12-31T00:00:00,FY2004H2  
fsr:sj,pe,2004-06-30T00:00:00,11.8182,2004-06-30T00:00:00,FY2005H1  
fsr:sj,pe,2004-12-31T00:00:00,10.0494,2004-12-31T00:00:00,FY2005H2  
fsr:sj,pe,2005-06-30T00:00:00,10.6187,2005-06-30T00:00:00,FY2006H1  
fsr:sj,pe,2005-12-31T00:00:00,8.8382,2005-12-31T00:00:00,FY2006H2  
fsr:sj,pe,2006-06-30T00:00:00,10.577,2006-06-30T00:00:00,FY2007H1  
fsr:sj,pe,2006-12-31T00:00:00,9.8131,2006-12-31T00:00:00,FY2007H2  
fsr:sj,pe,2007-06-30T00:00:00,8.5,2007-06-30T00:00:00,FY2008H1  
fsr:sj,pe,2007-12-31T00:00:00,5.4804,2007-12-31T00:00:00,FY2008H2  
fsr:sj,pe,2008-06-30T00:00:00,6.846,2008-06-30T00:00:00,FY2009H1  
fsr:sj,pe,2008-12-31T00:00:00,6.62,2008-12-31T00:00:00,FY2009H2  
fsr:sj,pe,2009-06-30T00:00:00,12.4341,2009-06-30T00:00:00,FY2010H1  
fsr:sj,pe,2009-12-31T00:00:00,13.1108,2009-12-31T00:00:00,FY2010H2  
fsr:sj,pe,2010-06-30T00:00:00,12.2882,2010-06-30T00:00:00,FY2011H1  
fsr:sj,pe,2010-12-31T00:00:00,11.4596,2010-12-31T00:00:00,FY2011H2  
fsr:sj,pe,2011-06-30T00:00:00,8.7635,2011-06-30T00:00:00,FY2012H1  
fsr:sj,pe,2011-12-31T00:00:00,10.2382,2011-12-31T00:00:00,FY2012H2  
fsr:sj,pe,2012-06-30T00:00:00,13.9075,2012-06-30T00:00:00,FY2013H1  
fsr:sj,pe,2012-12-31T00:00:00,11.9468,2012-12-31T00:00:00,FY2013H2  
fsr:sj,pe,2013-06-30T00:00:00,13.1988,2013-06-30T00:00:00,FY2014H1  
fsr:sj,pe,2013-12-31T00:00:00,13.3971,2013-12-31T00:00:00,FY2014H2  
fsr:sj,pe,2014-06-30T00:00:00,14.893,2014-06-30T00:00:00,FY2015H1  
fsr:sj,pe,2014-12-31T00:00:00,14.4761,2014-12-31T00:00:00,FY2015H2  
fsr:sj,pe,2015-06-30T00:00:00,10.6458,2015-06-30T00:00:00,FY2016H1  
fsr:sj,pe,2015-12-31T00:00:00,11.2942,2015-12-31T00:00:00,FY2016H2  
fsr:sj,pe,2016-06-30T00:00:00,12.946,2016-06-30T00:00:00,FY2017H1  
fsr:sj,pe,2016-12-31T00:00:00,10.806,2016-12-31T00:00:00,FY2017H2  
fsr:sj,pe,2017-06-30T00:00:00,15.0364,2017-06-30T00:00:00,FY2018H1  
fsr:sj,pe,2017-12-31T00:00:00,13.8014,2017-12-31T00:00:00,FY2018H2  
fsr:sj,pe,2018-06-30T00:00:00,13.5688,2018-06-30T00:00:00,FY2019H1  
fsr:sj,pe,2018-12-31T00:00:00,12.7558,2018-12-31T00:00:00,FY2019H2  
fsr:sj,pe,2019-06-30T00:00:00,11.4227,2019-06-30T00:00:00,FY2020H1  
fsr:sj,pe,2019-12-31T00:00:00,7.3478,2019-12-31T00:00:00,FY2020H2  
fsr:sj,pe,2020-06-30T00:00:00,16.4752,2020-06-30T00:00:00,FY2021H1  
fsr:sj,pe,2020-12-31T00:00:00,20.7772,2020-12-31T00:00:00,FY2021H2  
fsr:sj,pe,2021-06-30T00:00:00,12.4912,2021-06-30T00:00:00,FY2022H1  
fsr:sj,pe,2021-12-31T00:00:00,10.903,2021-12-31T00:00:00,FY2022H2  
fsr:sj,pe,2022-06-30T00:00:00,10.6312,2022-06-30T00:00:00,FY2023H1  
fsr:sj,pe,2022-12-31T00:00:00,10.9953,2022-12-31T00:00:00,FY2023H2  
fsr:sj,pe,2023-06-30T00:00:00,11.3423,2023-06-30T00:00:00,FY2024H1  
fsr:sj,pe,2023-12-31T00:00:00,11.3677,2023-12-31T00:00:00,FY2024H1  
