symbol,category,date,value,reportDate,reference
grt:sj,pe,1999-12-31T00:00:00,2.972,2000-03-31T00:00:00,FY2001H1  
grt:sj,pe,2000-12-31T00:00:00,8.3865,2001-03-31T00:00:00,FY2003H1  
grt:sj,pe,2003-06-30T00:00:00,8215.4289,2003-06-30T00:00:00,FY2003H2  
grt:sj,pe,2003-12-31T00:00:00,9097.7899,2003-12-31T00:00:00,FY2004H1  
grt:sj,pe,2004-06-30T00:00:00,10163.2968,2004-06-30T00:00:00,FY2004H2  
grt:sj,pe,2004-12-31T00:00:00,11568.5581,2004-12-31T00:00:00,FY2005H1  
grt:sj,pe,2005-06-30T00:00:00,14826.0279,2005-06-30T00:00:00,FY2005H2  
grt:sj,pe,2005-12-31T00:00:00,13675.4147,2005-12-31T00:00:00,FY2006H1  
grt:sj,pe,2006-06-30T00:00:00,14099.7904,2006-06-30T00:00:00,FY2006H2  
grt:sj,pe,2006-12-31T00:00:00,16012.1102,2006-12-31T00:00:00,FY2007H1  
grt:sj,pe,2007-06-30T00:00:00,15939.2748,2007-06-30T00:00:00,FY2007H2  
grt:sj,pe,2007-12-31T00:00:00,8417.4506,2007-12-31T00:00:00,FY2008H1  
grt:sj,pe,2009-12-31T00:00:00,190.1724,2009-12-31T00:00:00,FY2010H1  
grt:sj,pe,2010-06-30T00:00:00,735.1107,2010-06-30T00:00:00,FY2010H2  
grt:sj,pe,2013-12-31T00:00:00,21.4321,2013-12-31T00:00:00,FY2014H1  
grt:sj,pe,2014-06-30T00:00:00,9.7483,2014-06-30T00:00:00,FY2014H2  
grt:sj,pe,2014-12-31T00:00:00,9.3603,2014-12-31T00:00:00,FY2015H1  
grt:sj,pe,2015-06-30T00:00:00,7.9392,2015-06-30T00:00:00,FY2015H2  
grt:sj,pe,2015-12-31T00:00:00,9.6906,2015-12-31T00:00:00,FY2016H1  
grt:sj,pe,2016-06-30T00:00:00,13.6504,2016-06-30T00:00:00,FY2016H2  
grt:sj,pe,2016-12-31T00:00:00,10.6368,2016-12-31T00:00:00,FY2017H1  
grt:sj,pe,2017-06-30T00:00:00,10.3686,2017-06-30T00:00:00,FY2017H2  
grt:sj,pe,2017-12-31T00:00:00,8.6783,2017-12-31T00:00:00,FY2018H1  
grt:sj,pe,2018-06-30T00:00:00,10.1401,2018-06-30T00:00:00,FY2018H2  
grt:sj,pe,2018-12-31T00:00:00,16.1985,2018-12-31T00:00:00,FY2019H1  
grt:sj,pe,2019-06-30T00:00:00,10.3482,2019-06-30T00:00:00,FY2019H2  
grt:sj,pe,2019-12-31T00:00:00,6.422,2019-12-31T00:00:00,FY2020H1  
grt:sj,pe,2021-12-31T00:00:00,9.4509,2021-12-31T00:00:00,FY2022H1  
grt:sj,pe,2022-06-30T00:00:00,6.2639,2022-06-30T00:00:00,FY2022H2  
grt:sj,pe,2022-12-31T00:00:00,6.489,2022-12-31T00:00:00,FY2023H2  
grt:sj,pe,2023-06-30T00:00:00,16.9846,2023-06-30T00:00:00,FY2024H1  
grt:sj,pe,2023-12-31T00:00:00,64.2033,2023-12-31T00:00:00,FY2024H1  
grt:sj,pe,2024-06-30T00:00:00,28.419,2024-06-30T00:00:00,FY2025H1  
