symbol,category,date,value,reportDate,reference
mtm:sj,pe,2003-12-31T00:00:00,5.0592,2003-12-31T00:00:00,FY2003H2  
mtm:sj,pe,2004-06-30T00:00:00,5.0078,2004-06-30T00:00:00,FY2004H1  
mtm:sj,pe,2004-12-31T00:00:00,4.2132,2004-12-31T00:00:00,FY2004H2  
mtm:sj,pe,2005-06-30T00:00:00,5.3114,2005-06-30T00:00:00,FY2005H1  
mtm:sj,pe,2005-12-31T00:00:00,5.0434,2005-12-31T00:00:00,FY2005H2  
mtm:sj,pe,2006-06-30T00:00:00,6.0122,2006-06-30T00:00:00,FY2006H1  
mtm:sj,pe,2006-12-31T00:00:00,5.3398,2006-12-31T00:00:00,FY2006H2  
mtm:sj,pe,2007-06-30T00:00:00,4.7772,2007-06-30T00:00:00,FY2007H1  
mtm:sj,pe,2007-12-31T00:00:00,4.4532,2007-12-31T00:00:00,FY2007H2  
mtm:sj,pe,2008-06-30T00:00:00,7.1926,2008-06-30T00:00:00,FY2008H1  
mtm:sj,pe,2009-12-31T00:00:00,8.84,2009-12-31T00:00:00,FY2009H2  
mtm:sj,pe,2010-12-31T00:00:00,13.338,2010-12-31T00:00:00,FY2011H1  
mtm:sj,pe,2011-06-30T00:00:00,12.3235,2011-06-30T00:00:00,FY2011H2  
mtm:sj,pe,2011-12-31T00:00:00,20.3738,2011-12-31T00:00:00,FY2012H1  
mtm:sj,pe,2012-06-30T00:00:00,14.4676,2012-06-30T00:00:00,FY2012H2  
mtm:sj,pe,2012-12-31T00:00:00,11.4218,2012-12-31T00:00:00,FY2013H1  
mtm:sj,pe,2013-06-30T00:00:00,15.2304,2013-06-30T00:00:00,FY2013H2  
mtm:sj,pe,2013-12-31T00:00:00,14.0731,2013-12-31T00:00:00,FY2014H1  
mtm:sj,pe,2014-06-30T00:00:00,14.823,2014-06-30T00:00:00,FY2014H2  
mtm:sj,pe,2014-12-31T00:00:00,17.3801,2014-12-31T00:00:00,FY2015H1  
mtm:sj,pe,2015-06-30T00:00:00,12.1816,2015-06-30T00:00:00,FY2015H2  
mtm:sj,pe,2015-12-31T00:00:00,11.7281,2015-12-31T00:00:00,FY2016H1  
mtm:sj,pe,2016-06-30T00:00:00,17.3493,2016-06-30T00:00:00,FY2016H2  
mtm:sj,pe,2016-12-31T00:00:00,19.5786,2016-12-31T00:00:00,FY2017H1  
mtm:sj,pe,2017-06-30T00:00:00,21.3771,2017-06-30T00:00:00,FY2017H2  
mtm:sj,pe,2017-12-31T00:00:00,15.5494,2017-12-31T00:00:00,FY2018H1  
mtm:sj,pe,2018-06-30T00:00:00,19.4805,2018-06-30T00:00:00,FY2018H2  
mtm:sj,pe,2018-12-31T00:00:00,21.1858,2018-12-31T00:00:00,FY2019H1  
mtm:sj,pe,2019-06-30T00:00:00,14.4269,2019-06-30T00:00:00,FY2019H2  
mtm:sj,pe,2019-12-31T00:00:00,10.2245,2019-12-31T00:00:00,FY2020H1  
mtm:sj,pe,2020-06-30T00:00:00,149.1012,2020-06-30T00:00:00,FY2020H2  
mtm:sj,pe,2021-06-30T00:00:00,66.1362,2021-06-30T00:00:00,FY2021H2  
mtm:sj,pe,2021-12-31T00:00:00,98.7603,2021-12-31T00:00:00,FY2022H1  
mtm:sj,pe,2022-06-30T00:00:00,6.6019,2022-06-30T00:00:00,FY2022H2  
mtm:sj,pe,2022-12-31T00:00:00,4.8327,2022-12-31T00:00:00,FY2023H2  
mtm:sj,pe,2023-06-30T00:00:00,10.6275,2023-06-30T00:00:00,FY2024H1  
mtm:sj,pe,2023-12-31T00:00:00,9.9632,2023-12-31T00:00:00,FY2024H1  
