symbol,category,date,value,reportDate,reference
omu:sj,pe,2000-12-31T00:00:00,4.7764,2000-12-31T00:00:00,FY2000H2  
omu:sj,pe,2002-12-31T00:00:00,4.8565,2002-12-31T00:00:00,FY2002H2  
omu:sj,pe,2003-12-31T00:00:00,5.9639,2003-12-31T00:00:00,FY2004H2  
omu:sj,pe,2004-12-31T00:00:00,3.1669,2004-12-31T00:00:00,FY2005H1  
omu:sj,pe,2005-06-30T00:00:00,2.7426,2005-06-30T00:00:00,FY2005H2  
omu:sj,pe,2005-12-31T00:00:00,3.0388,2005-12-31T00:00:00,FY2006H1  
omu:sj,pe,2006-06-30T00:00:00,3.8518,2006-06-30T00:00:00,FY2006H2  
omu:sj,pe,2006-12-31T00:00:00,4.3737,2006-12-31T00:00:00,FY2007H1  
omu:sj,pe,2007-06-30T00:00:00,3.6503,2007-06-30T00:00:00,FY2007H2  
omu:sj,pe,2007-12-31T00:00:00,2.4331,2007-12-31T00:00:00,FY2008H1  
omu:sj,pe,2008-06-30T00:00:00,1.3227,2008-06-30T00:00:00,FY2008H2  
omu:sj,pe,2008-12-31T00:00:00,4.6847,2008-12-31T00:00:00,FY2009H1  
omu:sj,pe,2010-12-31T00:00:00,6.171,2010-12-31T00:00:00,FY2011H1  
omu:sj,pe,2011-06-30T00:00:00,3.939,2011-06-30T00:00:00,FY2011H2  
omu:sj,pe,2011-12-31T00:00:00,8.5801,2011-12-31T00:00:00,FY2012H1  
omu:sj,pe,2012-06-30T00:00:00,24.0199,2012-06-30T00:00:00,FY2012H2  
omu:sj,pe,2012-12-31T00:00:00,8.382,2012-12-31T00:00:00,FY2013H1  
omu:sj,pe,2013-06-30T00:00:00,7.5413,2013-06-30T00:00:00,FY2013H2  
omu:sj,pe,2013-12-31T00:00:00,7.8326,2013-12-31T00:00:00,FY2014H1  
omu:sj,pe,2014-06-30T00:00:00,9.8133,2014-06-30T00:00:00,FY2014H2  
omu:sj,pe,2014-12-31T00:00:00,7.8709,2014-12-31T00:00:00,FY2015H1  
omu:sj,pe,2015-06-30T00:00:00,7.6682,2015-06-30T00:00:00,FY2015H2  
omu:sj,pe,2015-12-31T00:00:00,8.3816,2015-12-31T00:00:00,FY2016H1  
omu:sj,pe,2016-06-30T00:00:00,7.5615,2016-06-30T00:00:00,FY2016H2  
omu:sj,pe,2017-06-30T00:00:00,93.596,2017-06-30T00:00:00,FY2017H2  
omu:sj,pe,2017-12-31T00:00:00,352.0276,2017-12-31T00:00:00,FY2018H1  
omu:sj,pe,2018-12-31T00:00:00,44.4841,2018-12-31T00:00:00,FY2019H1  
omu:sj,pe,2019-06-30T00:00:00,16.8247,2019-06-30T00:00:00,FY2019H2  
omu:sj,pe,2019-12-31T00:00:00,5.096,2019-12-31T00:00:00,FY2020H1  
omu:sj,pe,2021-06-30T00:00:00,16.598,2021-06-30T00:00:00,FY2021H2  
omu:sj,pe,2021-12-31T00:00:00,7.4088,2021-12-31T00:00:00,FY2022H1  
omu:sj,pe,2022-06-30T00:00:00,5.5898,2022-06-30T00:00:00,FY2022H2  
omu:sj,pe,2022-12-31T00:00:00,10.6448,2022-12-31T00:00:00,FY2023H1  
omu:sj,pe,2023-06-30T00:00:00,12.9842,2023-06-30T00:00:00,FY2023H2  
omu:sj,pe,2023-12-31T00:00:00,8.0914,2023-12-31T00:00:00,FY2024H1  
