symbol,category,date,value,reportDate,reference
pph:sj,pe,2017-06-30T00:00:00,12.0163,2017-09-30T00:00:00,FY2017H2  
pph:sj,pe,2017-12-31T00:00:00,16.8745,2018-03-31T00:00:00,FY2018H1  
pph:sj,pe,2018-03-31T00:00:00,21.2093,2018-03-31T00:00:00,FY2018H2  
pph:sj,pe,2018-12-31T00:00:00,18.3859,2019-03-31T00:00:00,FY2019H1  
pph:sj,pe,2019-03-31T00:00:00,18.4574,2019-03-31T00:00:00,FY2019H2  
pph:sj,pe,2019-12-31T00:00:00,12.8406,2020-03-31T00:00:00,FY2020H1  
pph:sj,pe,2020-03-31T00:00:00,12.8406,2020-03-31T00:00:00,FY2020H2  
pph:sj,pe,2021-12-31T00:00:00,12.5834,2022-03-31T00:00:00,FY2022H1  
pph:sj,pe,2022-06-30T00:00:00,12.2714,2022-09-30T00:00:00,FY2022H2  
pph:sj,pe,2022-12-31T00:00:00,10.6343,2023-03-31T00:00:00,FY2023H2  
pph:sj,pe,2024-09-30T00:00:00,46.2623,2024-09-30T00:00:00,FY2024H2  
