symbol,category,date,value,reportDate,reference
sbk:sj,pe,1999-12-31T00:00:00,12.2937,1999-12-31T00:00:00,FY2001H1  
sbk:sj,pe,2001-12-31T00:00:00,7.4968,2001-12-31T00:00:00,FY2002H2  
sbk:sj,pe,2002-12-31T00:00:00,7.4314,2002-12-31T00:00:00,FY2003H1  
sbk:sj,pe,2003-06-30T00:00:00,8.0153,2003-06-30T00:00:00,FY2003H2  
sbk:sj,pe,2003-12-31T00:00:00,7.5571,2003-12-31T00:00:00,FY2004H1  
sbk:sj,pe,2004-06-30T00:00:00,10.9474,2004-06-30T00:00:00,FY2004H2  
sbk:sj,pe,2004-12-31T00:00:00,9.537,2004-12-31T00:00:00,FY2005H1  
sbk:sj,pe,2005-06-30T00:00:00,10.0464,2005-06-30T00:00:00,FY2005H2  
sbk:sj,pe,2005-12-31T00:00:00,9.8046,2005-12-31T00:00:00,FY2006H1  
sbk:sj,pe,2006-06-30T00:00:00,10.6772,2006-06-30T00:00:00,FY2006H2  
sbk:sj,pe,2006-12-31T00:00:00,10.0708,2006-12-31T00:00:00,FY2007H1  
sbk:sj,pe,2007-06-30T00:00:00,10.2404,2007-06-30T00:00:00,FY2007H2  
sbk:sj,pe,2007-12-31T00:00:00,8.2215,2007-12-31T00:00:00,FY2008H1  
sbk:sj,pe,2008-06-30T00:00:00,8.1626,2008-06-30T00:00:00,FY2008H2  
sbk:sj,pe,2008-12-31T00:00:00,9.2032,2008-12-31T00:00:00,FY2009H1  
sbk:sj,pe,2009-06-30T00:00:00,12.975,2009-06-30T00:00:00,FY2009H2  
sbk:sj,pe,2009-12-31T00:00:00,14.0092,2009-12-31T00:00:00,FY2010H1  
sbk:sj,pe,2010-06-30T00:00:00,13.9583,2010-06-30T00:00:00,FY2010H2  
sbk:sj,pe,2010-12-31T00:00:00,14.3554,2010-12-31T00:00:00,FY2011H1  
sbk:sj,pe,2011-06-30T00:00:00,13.7283,2011-06-30T00:00:00,FY2011H2  
sbk:sj,pe,2011-12-31T00:00:00,13.6795,2011-12-31T00:00:00,FY2012H1  
sbk:sj,pe,2012-06-30T00:00:00,14.3764,2012-06-30T00:00:00,FY2012H2  
sbk:sj,pe,2012-12-31T00:00:00,11.5211,2012-12-31T00:00:00,FY2013H1  
sbk:sj,pe,2013-06-30T00:00:00,12.1901,2013-06-30T00:00:00,FY2013H2  
sbk:sj,pe,2013-12-31T00:00:00,13.365,2013-12-31T00:00:00,FY2014H1  
sbk:sj,pe,2014-06-30T00:00:00,12.6097,2014-06-30T00:00:00,FY2014H2  
sbk:sj,pe,2014-12-31T00:00:00,11.793,2014-12-31T00:00:00,FY2015H1  
sbk:sj,pe,2015-06-30T00:00:00,8.0136,2015-06-30T00:00:00,FY2015H2  
sbk:sj,pe,2015-12-31T00:00:00,9.7988,2015-12-31T00:00:00,FY2016H1  
sbk:sj,pe,2016-06-30T00:00:00,11.3052,2016-06-30T00:00:00,FY2016H2  
sbk:sj,pe,2016-12-31T00:00:00,10.5048,2016-12-31T00:00:00,FY2017H1  
sbk:sj,pe,2017-06-30T00:00:00,13.3686,2017-06-30T00:00:00,FY2017H2  
sbk:sj,pe,2017-12-31T00:00:00,11.8617,2017-12-31T00:00:00,FY2018H1  
sbk:sj,pe,2018-06-30T00:00:00,10.8782,2018-06-30T00:00:00,FY2018H2  
sbk:sj,pe,2018-12-31T00:00:00,11.5298,2018-12-31T00:00:00,FY2019H1  
sbk:sj,pe,2019-06-30T00:00:00,9.6871,2019-06-30T00:00:00,FY2019H2  
sbk:sj,pe,2019-12-31T00:00:00,6.5951,2019-12-31T00:00:00,FY2020H1  
sbk:sj,pe,2020-06-30T00:00:00,12.6866,2020-06-30T00:00:00,FY2020H2  
sbk:sj,pe,2020-12-31T00:00:00,16.4595,2020-12-31T00:00:00,FY2021H1  
sbk:sj,pe,2021-06-30T00:00:00,11.1737,2021-06-30T00:00:00,FY2021H2  
sbk:sj,pe,2021-12-31T00:00:00,9.9778,2021-12-31T00:00:00,FY2022H1  
sbk:sj,pe,2022-06-30T00:00:00,9.2076,2022-06-30T00:00:00,FY2022H2  
sbk:sj,pe,2022-12-31T00:00:00,8.6535,2022-12-31T00:00:00,FY2023H1  
sbk:sj,pe,2023-06-30T00:00:00,8.7451,2023-06-30T00:00:00,FY2023H2  
sbk:sj,pe,2023-12-31T00:00:00,8.0006,2023-12-31T00:00:00,FY2023H2  
sbk:sj,pe,2024-06-30T00:00:00,8.4921,2024-06-30T00:00:00,FY2024H1  
