symbol,category,date,value,reportDate,reference
ssw:sj,pe,2012-12-31T00:00:00,1.743,2012-12-31T00:00:00,FY2013H1  
ssw:sj,pe,2013-06-30T00:00:00,10.8973,2013-06-30T00:00:00,FY2013H2  
ssw:sj,pe,2013-12-31T00:00:00,12.09,2013-12-31T00:00:00,FY2014H1  
ssw:sj,pe,2014-06-30T00:00:00,8.9269,2014-06-30T00:00:00,FY2014H2  
ssw:sj,pe,2014-12-31T00:00:00,10.9471,2014-12-31T00:00:00,FY2015H1  
ssw:sj,pe,2015-06-30T00:00:00,17.4757,2015-06-30T00:00:00,FY2015H2  
ssw:sj,pe,2015-12-31T00:00:00,64.304,2015-12-31T00:00:00,FY2016H1  
ssw:sj,pe,2016-06-30T00:00:00,26.9332,2016-06-30T00:00:00,FY2016H2  
ssw:sj,pe,2016-12-31T00:00:00,6.7916,2016-12-31T00:00:00,FY2017H1  
ssw:sj,pe,2018-06-30T00:00:00,54.6884,2018-06-30T00:00:00,FY2018H2  
ssw:sj,pe,2019-12-31T00:00:00,10134.4086,2019-12-31T00:00:00,FY2020H1  
ssw:sj,pe,2020-06-30T00:00:00,18.1958,2020-06-30T00:00:00,FY2020H2  
ssw:sj,pe,2020-12-31T00:00:00,5.7686,2020-12-31T00:00:00,FY2021H1  
ssw:sj,pe,2021-06-30T00:00:00,3.1688,2021-06-30T00:00:00,FY2021H2  
ssw:sj,pe,2021-12-31T00:00:00,3.6328,2021-12-31T00:00:00,FY2022H1  
ssw:sj,pe,2022-06-30T00:00:00,6.2965,2022-06-30T00:00:00,FY2022H2  
ssw:sj,pe,2022-12-31T00:00:00,4.4626,2022-12-31T00:00:00,2022-12-31
ssw:sj,pe,2023-06-30T00:00:00,5.1088,2023-06-30T00:00:00,2023-06-30
